pipeline,dimension,series,auc
ws,On/Off-Task,Full_Shuffled,0.5474540229885058
ws,On/Off-Task,Full_Shuffled,0.4994367816091954
ws,On/Off-Task,Full_Shuffled,0.5292452107279694
ws,On/Off-Task,Full_Shuffled,0.5132528735632184
ws,On/Off-Task,Full_Shuffled,0.4962662835249042
ws,On/Off-Task,Full_Shuffled,0.5607969348659004
ws,On/Off-Task,Full_Shuffled,0.5036053639846744
ws,On/Off-Task,Full_Shuffled,0.4856819923371647
ws,On/Off-Task,Full_Shuffled,0.465772030651341
ws,On/Off-Task,Full_Shuffled,0.5182988505747126
ws,On/Off-Task,Full_Shuffled,0.5088544061302681
ws,On/Off-Task,Full_Shuffled,0.5320727969348659
ws,On/Off-Task,Full_Shuffled,0.5062452107279692
ws,On/Off-Task,Full_Shuffled,0.5052988505747126
ws,On/Off-Task,Full_Shuffled,0.4762681992337164
ws,On/Off-Task,Full_Shuffled,0.4955881226053639
ws,On/Off-Task,Full_Shuffled,0.5382088122605364
ws,On/Off-Task,Full_Shuffled,0.5237835249042146
ws,On/Off-Task,Full_Shuffled,0.5035191570881226
ws,On/Off-Task,Full_Shuffled,0.475647509578544
ws,On/Off-Task,Full_Shuffled,0.5124367816091955
ws,On/Off-Task,Full_Shuffled,0.4999521072796935
ws,On/Off-Task,Full_Shuffled,0.5281819923371647
ws,On/Off-Task,Full_Shuffled,0.5123409961685823
ws,On/Off-Task,Full_Shuffled,0.4930938697318008
ws,On/Off-Task,Full_Shuffled,0.5261168582375478
ws,On/Off-Task,Full_Shuffled,0.5258869731800766
ws,On/Off-Task,Full_Shuffled,0.4958352490421455
ws,On/Off-Task,Full_Shuffled,0.5007969348659004
ws,On/Off-Task,Full_Shuffled,0.4911704980842911
ws,On/Off-Task,Full_Shuffled,0.5197011494252873
ws,On/Off-Task,Full_Shuffled,0.4397164750957854
ws,On/Off-Task,Full_Shuffled,0.5165555555555555
ws,On/Off-Task,Full_Shuffled,0.4745268199233717
ws,On/Off-Task,Full_Shuffled,0.5059252873563218
ws,On/Off-Task,Full_Shuffled,0.4858295019157087
ws,On/Off-Task,Full_Shuffled,0.4910344827586207
ws,On/Off-Task,Full_Shuffled,0.5912931034482758
ws,On/Off-Task,Full_Shuffled,0.5020862068965518
ws,On/Off-Task,Full_Shuffled,0.533007662835249
ws,On/Off-Task,Full_Shuffled,0.4966436781609195
ws,On/Off-Task,Full_Shuffled,0.4805842911877394
ws,On/Off-Task,Full_Shuffled,0.4902624521072797
ws,On/Off-Task,Full_Shuffled,0.5578275862068967
ws,On/Off-Task,Full_Shuffled,0.5082413793103449
ws,On/Off-Task,Full_Shuffled,0.4811704980842912
ws,On/Off-Task,Full_Shuffled,0.4469846743295019
ws,On/Off-Task,Full_Shuffled,0.4987835249042145
ws,On/Off-Task,Full_Shuffled,0.452544061302682
ws,On/Off-Task,Full_Shuffled,0.4620708812260535
ws,On/Off-Task,Full_Shuffled,0.4929137931034482
ws,On/Off-Task,Full_Shuffled,0.4925421455938698
ws,On/Off-Task,Full_Shuffled,0.5114463601532567
ws,On/Off-Task,Full_Shuffled,0.5192950191570881
ws,On/Off-Task,Full_Shuffled,0.4791609195402299
ws,On/Off-Task,Full_Shuffled,0.4486283524904215
ws,On/Off-Task,Full_Shuffled,0.5015996168582375
ws,On/Off-Task,Full_Shuffled,0.4921379310344828
ws,On/Off-Task,Full_Shuffled,0.5061360153256705
ws,On/Off-Task,Full_Shuffled,0.4735210727969348
ws,On/Off-Task,Full_Shuffled,0.5168371647509579
ws,On/Off-Task,Full_Shuffled,0.4998295019157087
ws,On/Off-Task,Full_Shuffled,0.5623620689655173
ws,On/Off-Task,Full_Shuffled,0.5157873563218393
ws,On/Off-Task,Full_Shuffled,0.4727854406130269
ws,On/Off-Task,Full_Shuffled,0.5191187739463602
ws,On/Off-Task,Full_Shuffled,0.4968505747126436
ws,On/Off-Task,Full_Shuffled,0.5042681992337165
ws,On/Off-Task,Full_Shuffled,0.5261877394636015
ws,On/Off-Task,Full_Shuffled,0.496352490421456
ws,On/Off-Task,Full_Shuffled,0.4649099616858237
ws,On/Off-Task,Full_Shuffled,0.5254616858237549
ws,On/Off-Task,Full_Shuffled,0.5276954022988506
ws,On/Off-Task,Full_Shuffled,0.4877892720306514
ws,On/Off-Task,Full_Shuffled,0.518264367816092
ws,On/Off-Task,Full_Shuffled,0.4917988505747125
ws,On/Off-Task,Full_Shuffled,0.5300919540229885
ws,On/Off-Task,Full_Shuffled,0.5020804597701148
ws,On/Off-Task,Full_Shuffled,0.523676245210728
ws,On/Off-Task,Full_Shuffled,0.5196226053639846
ws,On/Off-Task,Full_Shuffled,0.4974157088122605
ws,On/Off-Task,Full_Shuffled,0.50133908045977
ws,On/Off-Task,Full_Shuffled,0.4953409961685823
ws,On/Off-Task,Full_Shuffled,0.497103448275862
ws,On/Off-Task,Full_Shuffled,0.4992528735632184
ws,On/Off-Task,Full_Shuffled,0.485308429118774
ws,On/Off-Task,Full_Shuffled,0.4651340996168582
ws,On/Off-Task,Full_Shuffled,0.5017873563218391
ws,On/Off-Task,Full_Shuffled,0.4740689655172414
ws,On/Off-Task,Full_Shuffled,0.4979942528735633
ws,On/Off-Task,Full_Shuffled,0.485823754789272
ws,On/Off-Task,Full_Shuffled,0.5327298850574713
ws,On/Off-Task,Full_Shuffled,0.4876704980842911
ws,On/Off-Task,Full_Shuffled,0.505955938697318
ws,On/Off-Task,Full_Shuffled,0.4547873563218391
ws,On/Off-Task,Full_Shuffled,0.4753295019157089
ws,On/Off-Task,Full_Shuffled,0.5287528735632183
ws,On/Off-Task,Full_Shuffled,0.5290057471264368
ws,On/Off-Task,Full_Shuffled,0.5374923371647511
ws,On/Off-Task,Full_Shuffled,0.4618371647509579
ws,On/Off-Task,Full_Shuffled,0.5377337164750958
ws,On/Off-Task,Full_Shuffled,0.4868831417624521
ws,On/Off-Task,Full_Shuffled,0.4637662835249043
ws,On/Off-Task,Full_Shuffled,0.5112394636015327
ws,On/Off-Task,Full_Shuffled,0.5151896551724138
ws,On/Off-Task,Full_Shuffled,0.492595785440613
ws,On/Off-Task,Full_Shuffled,0.5170842911877395
ws,On/Off-Task,Full_Shuffled,0.4999770114942529
ws,On/Off-Task,Full_Shuffled,0.4798122605363984
ws,On/Off-Task,Full_Shuffled,0.4988524904214559
ws,On/Off-Task,Full_Shuffled,0.5055919540229884
ws,On/Off-Task,Full_Shuffled,0.4913984674329502
ws,On/Off-Task,Full_Shuffled,0.5690689655172414
ws,On/Off-Task,Full_Shuffled,0.474572796934866
ws,On/Off-Task,Full_Shuffled,0.4657318007662834
ws,On/Off-Task,Full_Shuffled,0.4603544061302682
ws,On/Off-Task,Full_Shuffled,0.5576513409961685
ws,On/Off-Task,Full_Shuffled,0.4810383141762452
ws,On/Off-Task,Full_Shuffled,0.4650019157088122
ws,On/Off-Task,Full_Shuffled,0.4892049808429118
ws,On/Off-Task,Full_Shuffled,0.4785651340996169
ws,On/Off-Task,Full_Shuffled,0.4438486590038313
ws,On/Off-Task,Full_Shuffled,0.478971264367816
ws,On/Off-Task,Full_Shuffled,0.486411877394636
ws,On/Off-Task,Full_Shuffled,0.4987452107279695
ws,On/Off-Task,Full_Shuffled,0.4658869731800765
ws,On/Off-Task,Full_Shuffled,0.5227816091954023
ws,On/Off-Task,Full_Shuffled,0.4724770114942529
ws,On/Off-Task,Full_Shuffled,0.4864885057471264
ws,On/Off-Task,Full_Shuffled,0.4906091954022989
ws,On/Off-Task,Full_Shuffled,0.5259731800766283
ws,On/Off-Task,Full_Shuffled,0.4627873563218391
ws,On/Off-Task,Full_Shuffled,0.4632413793103448
ws,On/Off-Task,Full_Shuffled,0.5126264367816092
ws,On/Off-Task,Full_Shuffled,0.4666149425287357
ws,On/Off-Task,Full_Shuffled,0.4855229885057471
ws,On/Off-Task,Full_Shuffled,0.486971264367816
ws,On/Off-Task,Full_Shuffled,0.5149425287356322
ws,On/Off-Task,Full_Shuffled,0.5239118773946361
ws,On/Off-Task,Full_Shuffled,0.5163927203065135
ws,On/Off-Task,Full_Shuffled,0.4910555555555555
ws,On/Off-Task,Full_Shuffled,0.5084942528735633
ws,On/Off-Task,Full_Shuffled,0.486883141762452
ws,On/Off-Task,Full_Shuffled,0.5280747126436782
ws,On/Off-Task,Full_Shuffled,0.511963601532567
ws,On/Off-Task,Full_Shuffled,0.5289693486590038
ws,On/Off-Task,Full_Shuffled,0.4575383141762452
ws,On/Off-Task,Full_Shuffled,0.4687624521072798
ws,On/Off-Task,Full_Shuffled,0.5148831417624522
