trace_index,trace_type,trace_name,row_label,col_label,x,y,subject,label,value
0,violin,Permuted,,On/Off-Task,0.5306666666666666,27.2,32,,
0,violin,Permuted,,On/Off-Task,0.6880000000000001,28.2,34,,
0,violin,Permuted,,On/Off-Task,0.288,29.2,35,,
0,violin,Permuted,,On/Off-Task,0.5166666666666666,31.2,37,,
0,violin,Permuted,,On/Off-Task,0.45,32.2,38,,
0,violin,Permuted,,On/Off-Task,0.4941666666666666,33.2,39,,
0,violin,Permuted,,On/Off-Task,0.5475,34.2,40,,
0,violin,Permuted,,On/Off-Task,0.4025,35.2,41,,
0,violin,Permuted,,On/Off-Task,0.3573333333333333,36.2,42,,
0,violin,Permuted,,On/Off-Task,0.256,37.2,43,,
0,violin,Permuted,,On/Off-Task,0.4666666666666667,1.2,3,,
0,violin,Permuted,,On/Off-Task,0.6950000000000001,3.2,5,,
0,violin,Permuted,,On/Off-Task,0.585,4.2,6,,
0,violin,Permuted,,On/Off-Task,0.38,8.2,10,,
0,violin,Permuted,,On/Off-Task,0.6208333333333333,9.2,12,,
0,violin,Permuted,,On/Off-Task,0.1111111111111111,10.2,14,,
0,violin,Permuted,,On/Off-Task,0.2,11.2,15,,
0,violin,Permuted,,On/Off-Task,0.5166666666666667,12.2,17,,
0,violin,Permuted,,On/Off-Task,0.35,14.2,19,,
0,violin,Permuted,,On/Off-Task,0.4833333333333333,16.2,21,,
0,violin,Permuted,,On/Off-Task,0.5583333333333333,17.2,22,,
0,violin,Permuted,,On/Off-Task,0.7000000000000001,18.2,23,,
0,violin,Permuted,,On/Off-Task,0.3475,19.2,24,,
0,violin,Permuted,,On/Off-Task,0.4644444444444444,20.2,25,,
0,violin,Permuted,,On/Off-Task,0.5022222222222222,22.2,27,,
0,violin,Permuted,,On/Off-Task,0.6525000000000001,23.2,28,,
0,violin,Permuted,,On/Off-Task,0.5053333333333334,24.2,29,,
0,violin,Permuted,,On/Off-Task,0.298,25.2,30,,
0,violin,Permuted,,On/Off-Task,0.34,26.2,31,,
0,violin,Permuted,,On/Off-Task,0.448,27.2,32,,
0,violin,Permuted,,On/Off-Task,0.4093333333333334,28.2,34,,
0,violin,Permuted,,On/Off-Task,0.584,29.2,35,,
0,violin,Permuted,,On/Off-Task,0.6583333333333333,31.2,37,,
0,violin,Permuted,,On/Off-Task,0.6583333333333333,32.2,38,,
0,violin,Permuted,,On/Off-Task,0.5525,33.2,39,,
0,violin,Permuted,,On/Off-Task,0.4325,34.2,40,,
0,violin,Permuted,,On/Off-Task,0.48,35.2,41,,
0,violin,Permuted,,On/Off-Task,0.7280000000000001,36.2,42,,
0,violin,Permuted,,On/Off-Task,0.626,37.2,43,,
0,violin,Permuted,,On/Off-Task,0.8222222222222223,1.2,3,,
0,violin,Permuted,,On/Off-Task,0.5375,3.2,5,,
0,violin,Permuted,,On/Off-Task,0.4653333333333333,4.2,6,,
0,violin,Permuted,,On/Off-Task,0.36,8.2,10,,
0,violin,Permuted,,On/Off-Task,0.4416666666666666,9.2,12,,
0,violin,Permuted,,On/Off-Task,0.6333333333333334,10.2,14,,
0,violin,Permuted,,On/Off-Task,0.6333333333333333,11.2,15,,
0,violin,Permuted,,On/Off-Task,0.1333333333333333,12.2,17,,
0,violin,Permuted,,On/Off-Task,0.4,14.2,19,,
0,violin,Permuted,,On/Off-Task,0.2925,16.2,21,,
0,violin,Permuted,,On/Off-Task,0.4083333333333334,17.2,22,,
0,violin,Permuted,,On/Off-Task,0.3777777777777779,18.2,23,,
0,violin,Permuted,,On/Off-Task,0.5025000000000001,19.2,24,,
0,violin,Permuted,,On/Off-Task,0.4866666666666667,20.2,25,,
0,violin,Permuted,,On/Off-Task,0.3588888888888888,22.2,27,,
0,violin,Permuted,,On/Off-Task,0.605,23.2,28,,
0,violin,Permuted,,On/Off-Task,0.656,24.2,29,,
0,violin,Permuted,,On/Off-Task,0.444,25.2,30,,
0,violin,Permuted,,On/Off-Task,0.548,26.2,31,,
0,violin,Permuted,,On/Off-Task,0.3466666666666667,27.2,32,,
0,violin,Permuted,,On/Off-Task,0.4853333333333333,28.2,34,,
