subject_id,group,pc,condition,baseline_score,experimental_score,change_score
30,Risk of Depression,PC3,inclusion,0.11772061560616491,-0.060389820802674125,-0.17811043640883903
30,Risk of Depression,PC3,exclusion,0.11772061560616491,0.43000560968679263,0.3122849940806277
31,Risk of Depression,PC1,inclusion,-0.23475344638180975,-0.46235352822831666,-0.2276000818465069
31,Risk of Depression,PC1,exclusion,-0.23475344638180975,-0.3099406229276861,-0.07518717654587634
31,Risk of Depression,PC2,inclusion,0.019582677994377427,-0.1936005965313202,-0.21318327452569763
31,Risk of Depression,PC2,exclusion,0.019582677994377427,-0.00871860251629947,-0.028301280510676898
31,Risk of Depression,PC3,inclusion,-0.11330781238659805,-0.04832555213023322,0.06498226025636483
31,Risk of Depression,PC3,exclusion,-0.11330781238659805,-0.14754303272071048,-0.03423522033411243
32,Risk of Depression,PC1,inclusion,0.07978393492405211,0.2132881103761,0.13350417545204787
32,Risk of Depression,PC1,exclusion,0.07978393492405211,-0.07561265015485709,-0.1553965850789092
32,Risk of Depression,PC2,inclusion,-0.12578640785419096,0.35341129107819985,0.47919769893239084
32,Risk of Depression,PC2,exclusion,-0.12578640785419096,-0.9744834279154635,-0.8486970200612726
32,Risk of Depression,PC3,inclusion,-0.10366211655180924,0.509285593164098,0.6129477097159073
32,Risk of Depression,PC3,exclusion,-0.10366211655180924,-0.17864577891988123,-0.074983662368072
33,Risk of Depression,PC1,inclusion,0.37936727876578463,0.4106501798401429,0.03128290107435827
33,Risk of Depression,PC1,exclusion,0.37936727876578463,0.5220324152689553,0.14266513650317064
33,Risk of Depression,PC2,inclusion,-1.1045925398891436,-1.0857358846748029,0.018856655214340767
33,Risk of Depression,PC2,exclusion,-1.1045925398891436,-1.2236859974790006,-0.11909345758985701
33,Risk of Depression,PC3,inclusion,-0.814713803518433,-0.80963390286971,0.00507990064872299
33,Risk of Depression,PC3,exclusion,-0.814713803518433,-0.913064316760309,-0.09835051324187594
34,Risk of Depression,PC1,inclusion,0.4019884806390786,0.5702010904589758,0.16821260981989722
