perm_idx,n_converged,n_warnings,n_failed,n_insufficient_data,convergence_rate,n_nan_t,is_degenerate
4121,60,4,0,0,0.9375,0,False
4122,59,5,0,0,0.921875,0,False
4123,60,4,0,0,0.9375,0,False
4124,62,2,0,0,0.96875,0,False
4125,59,5,0,0,0.921875,0,False
4126,58,6,0,0,0.90625,0,False
4127,56,8,0,0,0.875,0,False
4128,59,5,0,0,0.921875,0,False
4129,58,6,0,0,0.90625,0,False
4130,58,6,0,0,0.90625,0,False
4131,60,4,0,0,0.9375,0,False
4132,56,8,0,0,0.875,0,False
4133,60,4,0,0,0.9375,0,False
4134,58,6,0,0,0.90625,0,False
4135,58,6,0,0,0.90625,0,False
4136,57,7,0,0,0.890625,0,False
4137,62,2,0,0,0.96875,0,False
4138,58,6,0,0,0.90625,0,False
4139,58,6,0,0,0.90625,0,False
4140,59,5,0,0,0.921875,0,False
4141,56,8,0,0,0.875,0,False
4142,58,6,0,0,0.90625,0,False
4143,61,3,0,0,0.953125,0,False
4144,57,7,0,0,0.890625,0,False
4145,59,5,0,0,0.921875,0,False
4146,57,7,0,0,0.890625,0,False
4147,62,2,0,0,0.96875,0,False
4148,57,7,0,0,0.890625,0,False
4149,59,5,0,0,0.921875,0,False
4150,59,5,0,0,0.921875,0,False
4151,58,6,0,0,0.90625,0,False
4152,59,5,0,0,0.921875,0,False
4153,58,6,0,0,0.90625,0,False
4154,63,1,0,0,0.984375,0,False
4155,58,6,0,0,0.90625,0,False
4156,58,6,0,0,0.90625,0,False
4157,56,8,0,0,0.875,0,False
4158,58,6,0,0,0.90625,0,False
4159,59,5,0,0,0.921875,0,False
4160,56,8,0,0,0.875,0,False
4161,59,5,0,0,0.921875,0,False
4162,59,5,0,0,0.921875,0,False
4163,62,2,0,0,0.96875,0,False
4164,57,7,0,0,0.890625,0,False
4165,60,4,0,0,0.9375,0,False
4166,60,4,0,0,0.9375,0,False
4167,59,5,0,0,0.921875,0,False
4168,58,6,0,0,0.90625,0,False
4169,58,6,0,0,0.90625,0,False
4170,56,8,0,0,0.875,0,False
4171,58,6,0,0,0.90625,0,False
4172,59,5,0,0,0.921875,0,False
4173,59,5,0,0,0.921875,0,False
4174,57,7,0,0,0.890625,0,False
4175,61,3,0,0,0.953125,0,False
4176,60,4,0,0,0.9375,0,False
4177,57,7,0,0,0.890625,0,False
4178,58,6,0,0,0.90625,0,False
4179,60,4,0,0,0.9375,0,False
4180,58,6,0,0,0.90625,0,False
4181,58,6,0,0,0.90625,0,False
4182,59,5,0,0,0.921875,0,False
4183,58,6,0,0,0.90625,0,False
4184,60,4,0,0,0.9375,0,False
4185,59,5,0,0,0.921875,0,False
4186,58,6,0,0,0.90625,0,False
4187,59,5,0,0,0.921875,0,False
4188,61,3,0,0,0.953125,0,False
4189,60,4,0,0,0.9375,0,False
4190,57,7,0,0,0.890625,0,False
4191,59,5,0,0,0.921875,0,False
4192,60,4,0,0,0.9375,0,False
4193,60,4,0,0,0.9375,0,False
4194,59,5,0,0,0.921875,0,False
4195,59,4,1,0,0.921875,1,False
4196,57,7,0,0,0.890625,0,False
4197,58,6,0,0,0.90625,0,False
4198,56,8,0,0,0.875,0,False
4199,59,5,0,0,0.921875,0,False
4200,58,6,0,0,0.90625,0,False
4201,58,6,0,0,0.90625,0,False
4202,56,8,0,0,0.875,0,False
4203,57,7,0,0,0.890625,0,False
4204,57,7,0,0,0.890625,0,False
4205,61,3,0,0,0.953125,0,False
4206,58,6,0,0,0.90625,0,False
4207,59,5,0,0,0.921875,0,False
4208,60,4,0,0,0.9375,0,False
4209,55,9,0,0,0.859375,0,False
4210,58,6,0,0,0.90625,0,False
4211,57,7,0,0,0.890625,0,False
4212,62,2,0,0,0.96875,0,False
4213,60,4,0,0,0.9375,0,False
4214,57,7,0,0,0.890625,0,False
4215,61,3,0,0,0.953125,0,False
4216,57,7,0,0,0.890625,0,False
4217,54,9,1,0,0.84375,1,False
4218,61,3,0,0,0.953125,0,False
4219,55,9,0,0,0.859375,0,False
4220,58,6,0,0,0.90625,0,False
4221,59,5,0,0,0.921875,0,False
4222,56,7,1,0,0.875,1,False
4223,55,9,0,0,0.859375,0,False
4224,58,6,0,0,0.90625,0,False
4225,55,9,0,0,0.859375,0,False
4226,61,3,0,0,0.953125,0,False
4227,61,3,0,0,0.953125,0,False
4228,59,5,0,0,0.921875,0,False
4229,60,4,0,0,0.9375,0,False
4230,59,5,0,0,0.921875,0,False
4231,58,6,0,0,0.90625,0,False
4232,59,5,0,0,0.921875,0,False
4233,56,8,0,0,0.875,0,False
4234,59,5,0,0,0.921875,0,False
4235,58,6,0,0,0.90625,0,False
4236,61,3,0,0,0.953125,0,False
4237,60,4,0,0,0.9375,0,False
4238,59,5,0,0,0.921875,0,False
4239,58,6,0,0,0.90625,0,False
4240,56,8,0,0,0.875,0,False
4241,57,7,0,0,0.890625,0,False
4242,58,6,0,0,0.90625,0,False
4243,58,5,1,0,0.90625,1,False
4244,58,6,0,0,0.90625,0,False
4245,58,6,0,0,0.90625,0,False
4246,59,5,0,0,0.921875,0,False
4247,59,5,0,0,0.921875,0,False
4248,61,3,0,0,0.953125,0,False
4249,61,3,0,0,0.953125,0,False
4250,60,4,0,0,0.9375,0,False
4251,59,5,0,0,0.921875,0,False
4252,58,6,0,0,0.90625,0,False
4253,58,6,0,0,0.90625,0,False
