dv,predictor,beta,se,p_value,dataset,analysis_type
confidence,sris,0.3070215402832301,0.16094341372471738,0.05643820627013418,complete_full,complete
confidence,time_on_task,-0.06403980750563547,0.03952791160461656,0.10520733132812882,complete_full,complete
PC1,age,-0.15150142312718085,0.16935244700608962,0.3710049809026498,complete_full,complete
PC1,bdi,0.06743605163276908,0.14614630972453127,0.6444913104030291,complete_full,complete
PC1,rrs_tot,-0.21088186176612805,0.20949666568544567,0.3141212560618536,complete_full,complete
PC1,mwq,-0.06307517047164861,0.19341757497637355,0.7443420501953986,complete_full,complete
PC1,fne,-0.2737521778401935,0.16966122236225248,0.10663106692659499,complete_full,complete
PC1,self_esteem,-0.023580182164990523,0.17091924981540235,0.8902712793469689,complete_full,complete
PC1,ctq_tot,-0.08047149650973279,0.11798183342423771,0.49519668617084445,complete_full,complete
PC1,a_rsq,0.0427730968558279,0.12473166677883382,0.7316579595469641,complete_full,complete
PC1,sris,0.1591534854808629,0.13301871380634653,0.23151148375026498,complete_full,complete
PC1,time_on_task,-0.07959078608070079,0.02695674136297003,0.0031517392502245865,complete_full,complete
PC2,age,-0.00481608643042163,0.13165319801467693,0.9708186038694339,complete_full,complete
PC2,bdi,-0.06354128440288158,0.10961555869350031,0.5621345104660213,complete_full,complete
PC2,rrs_tot,-0.08121363119751043,0.15652438187131,0.6038610894069005,complete_full,complete
PC2,mwq,0.11580589238121229,0.14566929870921233,0.4266182944707322,complete_full,complete
PC2,fne,-0.2341300613035248,0.14282209883095062,0.10114818033934657,complete_full,complete
PC2,self_esteem,0.006261494464495922,0.1333730771146232,0.9625552977976426,complete_full,complete
PC2,ctq_tot,0.09607282904727521,0.09222024246994526,0.2975155752188655,complete_full,complete
PC2,a_rsq,-0.08111803272656797,0.09817174419218072,0.40864132502671646,complete_full,complete
PC2,sris,-0.04544535879975124,0.10725337234940555,0.6717703004406601,complete_full,complete
PC2,time_on_task,0.10970239561579168,0.031557876378318646,0.0005085184377632317,complete_full,complete
PC3,age,0.25776445261068887,0.12093372759843865,0.03305191122924084,complete_full,complete
PC3,bdi,-0.025096235174379474,0.09946420255264665,0.8007981783200907,complete_full,complete
PC3,rrs_tot,0.20918618087792767,0.14159135474361761,0.1395701237126446,complete_full,complete
PC3,mwq,-0.11143062623461468,0.13222122778352677,0.3993632571924368,complete_full,complete
PC3,fne,-0.05128922000743512,0.1414792724947454,0.7169626666464003,complete_full,complete
PC3,self_esteem,-0.036667685917114716,0.1233051959914802,0.7661814459687941,complete_full,complete
PC3,ctq_tot,-0.09818394588880454,0.08573734949884151,0.2521382340472592,complete_full,complete
PC3,a_rsq,0.12703848824711828,0.09197258622883686,0.16719758265924467,complete_full,complete
PC3,sris,0.1607003148558867,0.10104857567094067,0.11176103392427117,complete_full,complete
PC3,time_on_task,0.02605409794653324,0.03537442440573638,0.4614121186646084,complete_full,complete
