feature_name,mean_importance,std_importance,rank
slowwaves_Duration_mean_posterior_mid_trimmean,0.004345095154284464,,160
slowwaves_Slope_mean_frontal_left_trimmean,0.004341765964977137,,161
psd_relative_delta_mean_frontal_right_trimmean,0.004321880924011892,,162
slowwaves_Density_mean_central_mid_trimmean,0.004310283797401457,,163
psd_relative_gamma_mean_central_left_trimmean,0.004289162581732927,,164
PE_beta_mean_posterior_left_trimmean,0.00428527780217365,,165
slowwaves_Slope_mean_frontal_right_trimmean,0.004271047121263743,,166
PE_gamma_mean_frontal_right_trimmean,0.0042091100846403055,,167
psd_relative_delta_mean_frontal_mid_trimmean,0.00416773785971968,,168
psd_relative_gamma_mean_posterior_mid_trimmean,0.00415794211159211,,169
psd_relative_delta_mean_central_mid_trimmean,0.0041130601445369865,,170
PE_beta_mean_posterior_mid_trimmean,0.004097468969656545,,171
psd_relative_alpha_mean_frontal_mid_trimmean,0.004078941356896026,,172
PE_gamma_mean_central_left_trimmean,0.0038668269726567506,,173
PE_gamma_mean_posterior_mid_trimmean,0.003791536809072026,,174
PE_beta_mean_central_right_trimmean,0.0035494685245458252,,175
