contrast,label,marker,rho_across_subjects,p_across_subjects,mean_share_ws,mean_share_loso,mean_direction_ws,mean_direction_loso,sign_concordance,p_sign_concordance,n_rois,n_comparable_subjects,n_subjects,p_across_subjects_fdr,p_sign_concordance_fdr
valence,Valence,wsmi_gamma,0.3982213438735178,0.0292970702929707,0.043182906143342144,0.029156221490881516,0.0375094906610305,0.1024829977768278,0.43478260869565216,0.6776394844055176,9,23,23,0.2246108722461087,0.8203004284908897
valence,Valence,wsmi_theta,-0.46936758893280633,0.9862013798620138,0.04095507860105971,0.04261891035570662,0.054341933633536274,0.5752373542294051,0.5217391304347826,1.0,9,23,23,0.9982001799820018,1.0
selfother,Self/Other,N1,0.0076612903225806465,0.48225177482251774,0.053068573558309455,0.022351331155160303,-0.06403530928093155,-0.29723642596608063,0.45161290322580644,0.720100131817162,1,31,31,0.7922707729227076,0.9201279462108182
selfother,Self/Other,P1,0.0995967741935484,0.30026997300269975,0.04127418009655489,0.02725171213881357,0.04015365434170762,0.5918127300407818,0.6129032258064516,0.28104151505976915,1,31,31,0.5755174482551746,0.8079943557968363
selfother,Self/Other,P3a,0.12096774193548387,0.256974302569743,0.04302052372879373,0.048737138518104996,0.16438838276753073,0.7453214812471171,0.6774193548387096,0.07075554598122835,1,31,31,0.5755174482551746,0.406844389392063
selfother,Self/Other,P3b,-0.14193548387096774,0.7693230676932307,0.04856611419265589,0.09083774338633217,0.22875042523960246,0.8435028980298304,0.7096774193548387,0.029449373483657837,1,31,31,0.9312858187865424,0.3386677950620651
selfother,Self/Other,PE_alpha,-0.26895161290322583,0.9315068493150684,0.04135656052435028,0.0440597684537778,0.09111563543282429,0.45139857731507693,0.5806451612903226,0.47312965989112854,9,31,31,0.9315068493150684,0.8370755521150737
selfother,Self/Other,PE_beta,0.17298387096774195,0.17248275172482752,0.04466457831170477,0.06596636734133463,0.06199657338217304,0.07156220603403696,0.3870967741935484,0.28104151505976915,9,31,31,0.5667290413815761,0.8079943557968363
selfother,Self/Other,PE_gamma,0.13830645161290325,0.22447755224477553,0.04609211676455804,0.06304779243287681,0.05337378473453599,-0.008565215473971967,0.12903225806451613,3.39532271027565e-05,9,31,31,0.5755174482551746,0.0007809242233633995
selfother,Self/Other,PE_theta,0.12217741935483874,0.25337466253374663,0.04301665506152967,0.02593582313279945,-0.06451904209887989,-0.13822266779650214,0.5161290322580645,1.0,9,31,31,0.5755174482551746,1.0
selfother,Self/Other,kolmogorov_complexity,-0.19516129032258067,0.8494150584941506,0.05134476627287816,0.05081053626580775,0.06660687122429576,0.607846854681532,0.5483870967741935,0.720100131817162,9,31,31,0.9315068493150684,0.9201279462108182
selfother,Self/Other,psd_relative_alpha,0.2717741935483871,0.07079292070792921,0.043400390664330366,0.03452732147644382,-0.02721524106942511,0.24368484729653392,0.5483870967741935,0.720100131817162,9,31,31,0.3624437556244376,0.9201279462108182
selfother,Self/Other,psd_relative_beta,-0.07016129032258064,0.6437356264373563,0.03818911443620916,0.04770456619767348,0.07377647686172151,0.46282165365663464,0.5806451612903226,0.47312965989112854,9,31,31,0.9253699630036997,0.8370755521150737
selfother,Self/Other,psd_relative_delta,-0.2120967741935484,0.8754124587541245,0.04712128159007965,0.03941294207504456,0.1141988252287709,0.5138020697729321,0.5161290322580645,1.0,9,31,31,0.9315068493150684,1.0
selfother,Self/Other,psd_relative_gamma,-0.12903225806451615,0.7517248275172482,0.04854669993309947,0.05878990072152711,0.009161067317702885,0.11650565326490198,0.45161290322580644,0.720100131817162,9,31,31,0.9312858187865424,0.9201279462108182
selfother,Self/Other,psd_relative_theta,0.20322580645161292,0.1327867213278672,0.04516750371028862,0.028474587732579902,0.017842997491097592,0.1407270518986777,0.3548387096774194,0.14961278438568115,9,31,31,0.5090157650901577,0.6882188081741333
selfother,Self/Other,slowwaves_Density,0.02217741935483871,0.45915408459154083,0.04246683988295961,0.05071319839145704,-0.07534387073640775,-0.5980297570295307,0.4838709677419355,1.0,9,31,31,0.7922707729227076,1.0
selfother,Self/Other,slowwaves_Duration,0.30322580645161296,0.0486951304869513,0.032389233712212154,0.032129578726641135,-0.033362828436475034,-0.37402636774962683,0.5161290322580645,1.0,9,31,31,0.3624437556244376,1.0
selfother,Self/Other,slowwaves_Frequency,0.4625000000000001,0.005099490050994901,0.03207281502037908,0.02875858906140014,0.016026989887274856,0.07042239578052129,0.3870967741935484,0.28104151505976915,9,31,31,0.11728827117288272,0.8079943557968363
selfother,Self/Other,slowwaves_PTP,0.3241935483870968,0.036996300369963,0.043114969166651175,0.04848521400208627,-0.08388146512422669,-0.6576909446099146,0.5161290322580645,1.0,9,31,31,0.3624437556244376,1.0
selfother,Self/Other,slowwaves_Slope,0.10806451612903227,0.27817218278172184,0.03778368265542422,0.03970639113952293,-0.05665021521323759,-0.59878776570899,0.5806451612903226,0.47312965989112854,9,31,31,0.5755174482551746,0.8370755521150737
selfother,Self/Other,wsmi_alpha,0.2580645161290323,0.07879212078792121,0.0410758850076118,0.031272008040529105,-0.007166375726750613,-0.10512897704714781,0.41935483870967744,0.47312965989112854,9,31,31,0.3624437556244376,0.8370755521150737
selfother,Self/Other,wsmi_beta,-0.018548387096774192,0.5414458554144586,0.04574738442716217,0.03848817421615783,0.1100933619386678,0.5186947623026822,0.6774193548387096,0.07075554598122835,9,31,31,0.8302169783021698,0.406844389392063
selfother,Self/Other,wsmi_gamma,-0.24475806451612908,0.9119088091190881,0.04551090529198457,0.0414477598092941,0.08906894315322357,0.5089496269402958,0.5806451612903226,0.47312965989112854,9,31,31,0.9315068493150684,0.8370755521150737
selfother,Self/Other,wsmi_theta,-0.11048387096774194,0.724027597240276,0.04500922599027295,0.04109155558463539,-0.051128250565127376,-0.25522371596330634,0.5483870967741935,0.720100131817162,9,31,31,0.9312858187865424,0.9201279462108182
time,Time,N1,-0.5115995115995117,0.9964003599640036,0.05465847739651625,0.04526910598717419,0.19314679958175804,0.7492278141264067,0.6296296296296297,0.24778856337070465,1,27,27,0.9964003599640036,0.5181033597751097
time,Time,P1,-0.163003663003663,0.7914208579142086,0.04870516407680799,0.039468705416542064,0.16192414793005294,0.6896146678996854,0.6296296296296297,0.24778856337070465,1,27,27,0.9964003599640036,0.5181033597751097
time,Time,P3a,0.20146520146520144,0.16528347165283472,0.055285981910858234,0.03255032106410503,0.1016440314059228,0.624558613079297,0.7037037037037037,0.052238985896110535,1,27,27,0.9964003599640036,0.3003741689026356
time,Time,P3b,-0.14896214896214896,0.7714228577142286,0.04440107574312924,0.08879588938775886,0.16098329278457188,0.8543371900528869,0.6296296296296297,0.24778856337070465,1,27,27,0.9964003599640036,0.5181033597751097
time,Time,PE_alpha,0.16727716727716724,0.20157984201579843,0.04519636823285578,0.02918133834157967,0.016628786459197593,-0.1941477463418244,0.48148148148148145,1.0,9,27,27,0.9964003599640036,1.0
time,Time,PE_beta,-0.08302808302808302,0.6618338166183382,0.03959189114789081,0.03165718946929526,-0.03806993760730743,-0.35853072258036944,0.5185185185185185,1.0,9,27,27,0.9964003599640036,1.0
time,Time,PE_gamma,-0.19963369963369965,0.8393160683931606,0.04181848855061169,0.027586781112696926,-0.034977097363245904,-0.20242021873294788,0.48148148148148145,1.0,9,27,27,0.9964003599640036,1.0
time,Time,PE_theta,-0.12454212454212454,0.7336266373362663,0.037268915141254674,0.046955920850222474,-0.13443986985515544,-0.6488797703973215,0.6666666666666666,0.12207812070846558,9,27,27,0.9964003599640036,0.5181033597751097
time,Time,kolmogorov_complexity,-0.28937728937728935,0.9299070092990701,0.051470276368517955,0.085269244244571,-0.15751026209079172,-0.7753929795473605,0.6296296296296297,0.24778856337070465,9,27,27,0.9964003599640036,0.5181033597751097
time,Time,psd_relative_alpha,-0.3626373626373626,0.9693030696930307,0.039568457521747855,0.045089201396808894,-0.10386708773775609,-0.49189473671671835,0.5925925925925926,0.44206833839416504,9,27,27,0.9964003599640036,0.8472976485888164
time,Time,psd_relative_beta,0.006715506715506716,0.48705129487051296,0.042804355432262665,0.03772338418263867,0.06154919275824956,-0.07165131398610793,0.37037037037037035,0.24778856337070465,9,27,27,0.9964003599640036,0.5181033597751097
time,Time,psd_relative_delta,-0.08241758241758242,0.6706329367063294,0.04346712283453286,0.04043360950995853,0.17044504408313402,0.43788042117221065,0.8148148148148148,0.0015137195587158203,9,27,27,0.9964003599640036,0.03481554985046387
time,Time,psd_relative_gamma,0.05372405372405373,0.39946005399460055,0.04954944185678172,0.05097217577575968,-0.03099934314409618,-0.4590507260744128,0.5555555555555556,0.7011080384254456,9,27,27,0.9964003599640036,0.9485579343403088
time,Time,psd_relative_theta,0.2326007326007326,0.11748825117488251,0.04093136921497276,0.0339601227016911,0.09120312340749916,0.45498411452921356,0.5555555555555556,0.7011080384254456,9,27,27,0.9964003599640036,0.9485579343403088
time,Time,slowwaves_Density,0.1043956043956044,0.2913708629137086,0.04563690672993817,0.032199907429850926,-0.027276077266981162,0.2778275616559159,0.48148148148148145,1.0,9,27,27,0.9964003599640036,1.0
time,Time,slowwaves_Duration,-0.08547008547008547,0.6707329267073293,0.03168048745965589,0.040525710076203425,0.08285971254963495,0.11558075932235463,0.4444444444444444,0.7011080384254456,9,27,27,0.9964003599640036,0.9485579343403088
