contrast,label,subject,n_features_compared,rho_magnitude,p_magnitude,reliability_ws,reliability_loso,noise_ceiling,rho_magnitude_corrected,pct_of_ceiling,n_features_used_ws,n_features_used_loso,p_magnitude_fdr
on_off,On/Off-Task,43,175,0.04692789968652038,0.26347365263473654,0.9933812450201561,0.9970423303831496,0.9952101041959989,0.04715376128986558,4.7153761289865574,174.97,175.0,0.4244853292448533
valence,Valence,02,175,0.1892521271831617,0.0059994000599940004,0.9913407985256321,0.9938359497503741,0.9925875901042769,0.19066541740994333,19.066541740994335,134.24,175.0,0.0344965503449655
valence,Valence,03,175,0.0804769368562472,0.1471852814718528,0.9863937086506056,0.9918531076252113,0.9891196415333489,0.0813621866122187,8.136218661221871,153.61,175.0,0.2821051228210512
valence,Valence,04,175,-0.04937975817286163,0.7361263873612639,0.993960609931091,0.9916209253334357,0.9927900783976714,-0.04973836790609233,-4.973836790609234,174.99,175.0,0.8911003636478457
valence,Valence,05,175,-0.06917151813703538,0.8221177882211779,0.9913795245074902,0.9932689229825931,0.9923237740649722,-0.06970660176131827,-6.970660176131828,174.78,175.0,0.9004147204327186
valence,Valence,06,175,0.0764935064935065,0.16328367163283672,0.9896784775047367,0.9938937505843233,0.991783874581436,0.0771271931859037,7.71271931859037,174.98,175.0,0.2888864959657881
valence,Valence,08,175,-0.19143081056874162,0.9926007399260074,0.9938042131350682,0.9943898844539116,0.9940970056635273,-0.19256753564101906,-19.256753564101906,174.99,175.0,0.9926007399260074
valence,Valence,12,175,-0.008936408419167041,0.5393460653934606,0.9913089043076033,0.9956868054025124,0.9934954434204026,-0.008994916361569617,-0.8994916361569617,173.63,175.0,0.6891644168916441
valence,Valence,21,175,0.2449019805570029,0.000999900009999,0.9867038730556952,0.9948549899395472,0.990771049083559,0.24718322238375026,24.718322238375027,153.55,175.0,0.011498850114988501
valence,Valence,22,175,0.1443819973130318,0.030396960303969604,0.9800497642535534,0.9931577108202857,0.9865819683918918,0.14634566811348831,14.63456681134883,168.87,175.0,0.09987572671304298
valence,Valence,24,175,0.10109941782355578,0.09299070092990701,0.9873050318422953,0.9935717947706747,0.9904334568630381,0.10207593162670826,10.207593162670825,174.26,175.0,0.21387861213878612
valence,Valence,25,175,0.06574563367666816,0.1954804519548045,0.9942959057979991,0.9888870399362452,0.991587784870967,0.06630339207458419,6.630339207458419,174.71,175.0,0.3211464567828931
valence,Valence,26,175,0.1034885803851321,0.07989201079892011,0.9921920837658528,0.9932530370350333,0.992722418666241,0.10424724821282147,10.424724821282148,174.96,175.0,0.2051905920519059
valence,Valence,28,175,0.009973037531961137,0.44685531446855314,0.8275276463082081,0.9927614597065115,0.9063870884431389,0.01100306663579176,1.100306663579176,9.5,175.0,0.6247257627178459
valence,Valence,29,175,0.15686968204209586,0.019198080191980802,0.9902221579083625,0.9954925370448677,0.9928538503799235,0.15799876485554085,15.799876485554085,174.88,175.0,0.0735926407359264
valence,Valence,30,175,-0.13948499776085982,0.9664033596640336,0.9842947773965788,0.9927591880276823,0.9885179229473362,-0.14110517829052144,-14.110517829052144,164.68,175.0,0.9926007399260074
valence,Valence,32,175,0.007218987908643081,0.4617538246175382,0.9916903635988029,0.9937214618302508,0.9927053932554085,0.00727203454085168,0.7272034540851681,174.71,175.0,0.6247257627178459
valence,Valence,34,175,0.06016345723242275,0.21707829217078292,0.9890232280175937,0.994520066821864,0.9917678391722696,0.06066284351651817,6.0662843516518175,174.97,175.0,0.3328533813285338
valence,Valence,35,175,0.16982758620689656,0.013098690130986902,0.9941010989208998,0.9938234820331253,0.9939622807846005,0.1708591859973201,17.085918599732008,174.93,175.0,0.06025397460253975
valence,Valence,36,175,0.4493789150255979,9.999000099990002e-05,0.9943796315686367,0.9948889223975927,0.9946342443860638,0.45180318047764,45.180318047764004,156.78,175.0,0.0022997700229977006
valence,Valence,38,175,0.10544111061352443,0.08029197080291971,0.9848973362078666,0.9942426811787585,0.9895589766340995,0.1065536396548828,10.655363965488279,173.82,175.0,0.2051905920519059
valence,Valence,40,175,0.22299373040752354,0.0023997600239976003,0.9972101064874848,0.9955614431438523,0.9963854338218293,0.2238026800052545,22.380268000525447,170.49,175.0,0.0183981601839816
valence,Valence,42,175,0.08385803851321094,0.137986201379862,0.9848892606466159,0.9936432323296055,0.9892565635039369,0.08476874615437133,8.476874615437133,153.77,175.0,0.2821051228210512
valence,Valence,43,175,-0.0691782355575459,0.8183181681831817,0.9852317822860915,0.9945879746778449,0.9898988245937901,-0.06988414759047071,-6.988414759047071,174.95,175.0,0.9004147204327186
selfother,Self/Other,03,175,-0.09285714285714286,0.8935106489351065,0.984629620577506,0.9950969913662947,0.9898494698926764,-0.09380935756545974,-9.380935756545975,174.55,175.0,0.9904009599040096
selfother,Self/Other,04,175,0.0019211822660098524,0.49395060493950604,0.9950822936695362,0.9938722177164999,0.9944770716410526,0.0019318517447964709,0.1931851744796471,175.0,175.0,0.8615506870365595
selfother,Self/Other,05,175,-0.03297581728616212,0.6657334266573343,0.990679720482015,0.995508352395283,0.9930911017064197,-0.033205228834998185,-3.320522883499818,175.0,175.0,0.8854383792389992
selfother,Self/Other,06,175,-0.17823331840573223,0.9904009599040096,0.9909214563628886,0.9955749973292551,0.9932455015110738,-0.1794453819670736,-17.94453819670736,174.98,175.0,0.9904009599040096
selfother,Self/Other,07,175,0.12767801164352888,0.04689531046895311,0.980760891891275,0.9921898095180067,0.9864587991945303,0.12943065817627797,12.943065817627796,156.0,175.0,0.30015331800153316
selfother,Self/Other,08,175,0.12361621137483206,0.05019498050194981,0.9871488557798398,0.9955049634335467,0.9913181051391006,0.12469883353687601,12.469883353687603,174.99,175.0,0.30015331800153316
selfother,Self/Other,10,175,-0.04536721898790865,0.7204279572042795,0.994120356449871,0.9936749791006169,0.9938976428278836,-0.04564576575393391,-4.564576575393391,174.81,175.0,0.8854383792389992
selfother,Self/Other,12,175,-0.005022391401701747,0.528047195280472,0.9853309204838876,0.9948832671470191,0.9900955738674877,-0.005072632919752788,-0.5072632919752789,174.95,175.0,0.8615506870365595
selfother,Self/Other,14,175,0.11863636363636365,0.0580941905809419,0.9919611952460115,0.9927160241829351,0.9923385379437668,0.11955230911639396,11.955230911639397,174.0,175.0,0.30015331800153316
selfother,Self/Other,18,175,0.16889162561576357,0.011198880111988802,0.9941645327009138,0.994930769274048,0.9945475771953268,0.16981754265798552,16.981754265798553,174.82,175.0,0.11572176115721762
selfother,Self/Other,19,175,-0.03399238692342141,0.6744325567443256,0.9634154833139138,0.9939016835138199,0.9785398667346055,-0.034737866160582956,-3.473786616058296,149.55,175.0,0.8854383792389992
selfother,Self/Other,20,175,-0.0022369010300044784,0.5178482151784821,0.9803187360153433,0.9921636549300145,0.9862234128844006,-0.0022681483736653844,-0.22681483736653846,145.28,175.0,0.8615506870365595
selfother,Self/Other,21,175,0.08528980396642871,0.12468753124687532,0.989668727961549,0.9947135800329318,0.9921879476375784,0.08596133844349312,8.596133844349312,160.63,175.0,0.4045095490450955
selfother,Self/Other,22,175,0.08371921182266011,0.1304869513048695,0.9881597012964063,0.9941316840636539,0.9911411947717811,0.08446749289029117,8.446749289029116,174.99,175.0,0.4045095490450955
selfother,Self/Other,24,175,0.029650694133452754,0.3508649135086491,0.9889957644672532,0.9941815225335094,0.9915852534690327,0.029902314530919703,2.9902314530919707,174.03,175.0,0.7769151656262945
selfother,Self/Other,25,175,-0.02727496641289745,0.6426357364263574,0.9908051639320183,0.9943287437103325,0.99256539024602,-0.027479264017191855,-2.747926401719186,175.0,175.0,0.8854383792389992
selfother,Self/Other,26,175,-0.10337214509628304,0.9153084691530847,0.9922102773791149,0.9926274131208813,0.9924188233335677,-0.10416181421171818,-10.416181421171817,174.92,175.0,0.9904009599040096
selfother,Self/Other,27,175,0.038269144648454996,0.3144685531446855,0.9958990593017609,0.993310904859315,0.9946041402204059,0.03847675984937534,3.8476759849375344,174.94,175.0,0.7565628052579357
selfother,Self/Other,28,175,0.22611509180474698,0.0005999400059994001,0.9953185353157007,0.9951162107825876,0.9952173679076521,0.227201714013625,22.7201714013625,174.49,175.0,0.018598140185981403
selfother,Self/Other,29,175,-0.03751007613076578,0.7003299670032996,0.985563703805499,0.9938189482411546,0.9896827186228109,-0.03790111257369714,-3.790111257369714,175.0,175.0,0.8854383792389992
selfother,Self/Other,30,175,-0.00010300044782803404,0.49755024497550243,0.9918895186757772,0.99203058665806,0.991960050159235,-0.00010383527825692156,-0.010383527825692155,174.91,175.0,0.8615506870365595
selfother,Self/Other,31,175,0.09161442006269592,0.11768823117688232,0.9958347152035706,0.9929579211548739,0.9943952778560412,0.09213078752769274,9.213078752769274,164.61,175.0,0.4045095490450955
selfother,Self/Other,32,175,0.009829825347066728,0.44895510448955106,0.9938404833891309,0.9957364898899044,0.9947880349302454,0.009881326475499875,0.9881326475499875,174.97,175.0,0.8615506870365595
selfother,Self/Other,34,175,-0.1447962382445141,0.9711028897110289,0.9924115004066678,0.9934368294837814,0.9929240325962719,-0.14582811322020744,-14.582811322020746,175.0,175.0,0.9904009599040096
selfother,Self/Other,35,175,0.03593819973130318,0.31726827317268275,0.9948957086142795,0.994909280772745,0.9949024946703688,0.036122333518934666,3.612233351893466,174.94,175.0,0.7565628052579357
selfother,Self/Other,37,175,0.06844155844155844,0.17988201179882013,0.993914149293138,0.9950393287060738,0.9944765798670738,0.06882168954718536,6.882168954718536,175.0,175.0,0.5069402150694021
selfother,Self/Other,38,175,-0.13771607702642186,0.9675032496750325,0.9917529636728548,0.9942358861410164,0.9929936488569603,-0.13868777225810808,-13.868777225810808,145.75,175.0,0.9904009599040096
selfother,Self/Other,40,175,0.1996915524366349,0.0038996100389961006,0.9944422321515493,0.9956348572726517,0.9950383660312324,0.20068728930836718,20.06872893083672,160.01,175.0,0.06044395560443956
selfother,Self/Other,41,175,0.10538065382892968,0.08339166083391661,0.9943525215495888,0.9936443661773471,0.99399838079948,0.10601692705391659,10.60169270539166,174.97,175.0,0.3693059265502021
selfother,Self/Other,42,175,-0.04962382445141066,0.7423257674232576,0.992706936586323,0.9953569564669679,0.9940310634302179,-0.04992180453613592,-4.992180453613592,174.93,175.0,0.8854383792389992
selfother,Self/Other,43,175,-0.04843931930138828,0.7426257374262574,0.9903066271018794,0.9935479799971605,0.9919259795644398,-0.04883360280840537,-4.883360280840537,175.0,175.0,0.8854383792389992
time,Time,03,175,-0.059296909986565165,0.7813218678132187,0.9911448450347881,0.9947577041940617,0.9929496314368543,-0.059717943498059596,-5.971794349805959,174.71,175.0,0.9968003199680032
time,Time,04,175,-0.004287953425884461,0.5271472852714728,0.9799437667163828,0.991216627532829,0.9855640799138483,-0.004350760659072809,-0.4350760659072809,152.46,175.0,0.9807519248075193
time,Time,05,175,-0.0461218092252575,0.7296270372962703,0.9895607553180418,0.9940875049270793,0.9918215475718746,-0.04650212463942782,-4.650212463942783,174.94,175.0,0.9968003199680032
time,Time,06,175,0.08052619793999105,0.1431856814318568,0.9884553445842951,0.9956325985364034,0.9920374807766377,0.08117253581684172,8.11725358168417,174.99,175.0,0.831902524033311
time,Time,08,175,0.06705776981639051,0.19108089191080893,0.9909624943515589,0.99293634821041,0.9919489303159291,0.06760203853945693,6.760203853945693,174.94,175.0,0.831902524033311
time,Time,09,175,0.06040752351097179,0.2156784321567843,0.984994232921778,0.9926194600837304,0.9887994961914187,0.06109178225074427,6.1091782250744275,173.47,175.0,0.831902524033311
time,Time,10,175,-0.21575235109717872,0.9968003199680032,0.9834231506825928,0.9930737180065295,0.9882366541583336,-0.21832053100775925,-21.832053100775926,162.49,175.0,0.9968003199680032
time,Time,12,175,-0.0198410210479176,0.6001399860013998,0.9938302826444737,0.9934663207880984,0.9936482850519097,-0.019967851146526234,-1.9967851146526234,164.96,175.0,0.9807519248075193
time,Time,18,175,-0.10099193909538738,0.9107089291070893,0.991272451302808,0.9937532036658386,0.992512052414405,-0.10175386671598832,-10.175386671598831,174.66,175.0,0.9968003199680032
time,Time,22,175,0.12640618002686968,0.048595140485951406,0.9919964609280134,0.9928477759097577,0.9924220271349931,0.1273713970172444,12.73713970172444,174.97,175.0,0.831902524033311
time,Time,24,175,-0.08047917599641738,0.8527147285271472,0.9856005705712868,0.9945325172821758,0.9900564713616141,-0.08128746018470565,-8.128746018470565,173.79,175.0,0.9968003199680032
time,Time,25,175,-0.03040752351097179,0.6538346165383462,0.9892211503097859,0.9927546446392829,0.990986322582433,-0.03068410009104077,-3.068410009104077,152.85,175.0,0.9807519248075193
time,Time,26,175,0.014332736229287954,0.42225777422257776,0.9851833589158322,0.9933699004977928,0.9892681614296002,0.014488221483420218,1.4488221483420218,170.92,175.0,0.9807519248075193
time,Time,27,175,0.11472234661889835,0.06379362063793621,0.9848050364217675,0.9928682170542635,0.9888284080962375,0.11601845747915954,11.601845747915954,170.12,175.0,0.831902524033311
time,Time,28,175,-0.1342767577250336,0.9619038096190381,0.9893412387698296,0.9946309782425178,0.9919825825755713,-0.13536201147443447,-13.536201147443448,171.56,175.0,0.9968003199680032
time,Time,29,175,0.07684057321988357,0.1558844115588441,0.9864017602928677,0.991619786921539,0.9890073323088381,0.07769464462968056,7.769464462968056,172.12,175.0,0.831902524033311
time,Time,30,175,-0.14458575906851767,0.9736026397360263,0.9837816928249208,0.992734198884249,0.9882478083474499,-0.1463051654121999,-14.63051654121999,157.22,175.0,0.9968003199680032
time,Time,31,175,0.0411576354679803,0.2970702929707029,0.9856823591402148,0.9939764735564036,0.9898207289125376,0.041580898707989235,4.158089870798924,150.14,175.0,0.8912108789121088
time,Time,32,175,0.02554187192118227,0.37376262373762625,0.9838094403784434,0.993745268394679,0.9887648741627583,0.025832098801861242,2.583209880186124,174.65,175.0,0.9807519248075193
time,Time,34,175,-0.14102552619793998,0.9702029797020298,0.9930623665514529,0.9932655188931783,0.9931639375279473,-0.1419962212371123,-14.19962212371123,175.0,175.0,0.9968003199680032
time,Time,37,175,-0.007420510523958799,0.5452454754524547,0.9951331684805721,0.9942947734179455,0.9947138826190537,-0.007459944667124584,-0.7459944667124584,171.81,175.0,0.9807519248075193
time,Time,38,175,-0.1170420958351993,0.940905909409059,0.9868375083371522,0.9942641981925581,0.9905438930068574,-0.11815942399070349,-11.815942399070348,167.03,175.0,0.9968003199680032
time,Time,39,175,-0.02786609941782356,0.6416358364163584,0.9939322807843545,0.9940886377739313,0.9940104562047904,-0.02803401035057368,-2.8034010350573677,171.54,175.0,0.9807519248075193
time,Time,40,175,0.08239140170174652,0.1357864213578642,0.9894887369627416,0.9943242144706073,0.9919035291337517,0.08306392636156916,8.306392636156916,162.9,175.0,0.831902524033311
time,Time,41,175,-0.009440214957456339,0.5487451254874512,0.9824723688617406,0.9930339867939991,0.9877390613748749,-0.009557397623129446,-0.9557397623129446,157.35,175.0,0.9807519248075193
time,Time,42,175,-0.0051925660546350205,0.5306469353064693,0.97961981356242,0.9937543372657877,0.986661765043704,-0.0052627620108548715,-0.5262762010854872,170.06,175.0,0.9807519248075193
time,Time,43,175,0.044858934169279004,0.27207279272072793,0.9854980282406818,0.9935831347429029,0.9895323239704332,0.04533347024914303,4.5333470249143035,174.93,175.0,0.8912108789121088
confidence,Confidence,05,175,-0.0006403940886699507,0.5027497250274973,0.9918838296224982,0.9951569082962555,0.9935190210942995,-0.0006445715432449359,-0.06445715432449359,174.94,175.0,0.8894802827409568
confidence,Confidence,06,175,-0.10333184057321988,0.9123087691230877,0.9907720955037834,0.9950121910466974,0.9928898798835384,-0.10407180359753516,-10.407180359753516,174.93,175.0,0.9872285498722855
confidence,Confidence,08,175,-0.0891356918943126,0.8792120787921208,0.9871982401832387,0.9962499845481833,0.9917137850854677,-0.08988046070835924,-8.988046070835924,170.25,175.0,0.9872285498722855
confidence,Confidence,10,175,0.07153157187639947,0.1785821417858214,0.9918337631847759,0.991722233698738,0.9917779968740137,0.07212458040192454,7.212458040192454,121.41,175.0,0.6845648768456487
confidence,Confidence,12,175,-0.0894805194805195,0.8802119788021198,0.9887599742774592,0.995532074487167,0.9921402463171811,-0.09018938583801098,-9.018938583801097,171.66,175.0,0.9872285498722855
confidence,Confidence,14,175,0.0066256157635467975,0.4667533246675332,0.9824503443286872,0.995433789954338,0.9889207600698093,0.006699844953279256,0.6699844953279255,152.79,175.0,0.8894802827409568
confidence,Confidence,15,175,0.2907523510971787,9.999000099990002e-05,0.9950969913662947,0.9940761763182197,0.9945864528753499,0.29233491996257693,29.23349199625769,163.33,175.0,0.0011498850114988503
confidence,Confidence,19,175,0.016056874160322435,0.42285771422857715,0.9863695529562897,0.9934107395816546,0.9898838856669674,0.01622096732032725,1.622096732032725,159.25,175.0,0.8894802827409568
confidence,Confidence,22,175,0.09552619793999105,0.10168983101689831,0.9887874506394233,0.9943072294582861,0.9915434990803009,0.09634090489080478,9.634090489080478,167.04,175.0,0.46777322267773225
confidence,Confidence,23,175,0.037675022000377346,0.3120687931206879,0.2716650048578534,0.9933347308534114,0.5194750085256907,0.07252518674055543,7.252518674055543,0.12,175.0,0.8894802827409568
confidence,Confidence,24,175,0.27111509180474697,9.999000099990002e-05,0.9884037913339321,0.9955309448891508,0.9919609671346391,0.27331225802955256,27.331225802955256,159.15,175.0,0.0011498850114988503
confidence,Confidence,25,175,-0.044628302731751,0.720927907209279,0.9927285193605426,0.9958222969721772,0.9942742048446214,-0.044885306803997015,-4.488530680399702,174.91,175.0,0.9872285498722855
