dimension,marker_name,p_raw,p_bh,sig_bh,sig_by,cluster_stat
valence,evoked/N1,0.09898020395920816,0.39592081583683264,False,False,-5.125323028896635
valence,evoked/P3a,1.0,1.0,False,False,
valence,evoked/P3b,0.241751649670066,0.483503299340132,False,False,-2.3716328064518675
valence,sleep/psd_relative_delta,0.0015996800639872025,0.03039392121575685,True,False,52.81551113144849
valence,sleep/psd_relative_theta,0.022195560887822437,0.10542891421715658,False,False,15.25865838781137
valence,sleep/psd_relative_alpha,0.0649870025994801,0.15434413117376525,False,False,-5.357599003306564
valence,sleep/psd_relative_beta,0.0609878024395121,0.15434413117376525,False,False,-7.000178525429762
valence,sleep/psd_relative_gamma,0.10617876424715057,0.19825125883914127,False,False,-3.378027316249653
valence,sleep/PE_theta,0.01979604079184163,0.10542891421715658,False,False,-12.434823944924222
valence,sleep/PE_alpha,0.16876624675064986,0.20940517778797182,False,False,-2.581975014522704
valence,sleep/PE_beta,0.11477704459108179,0.19825125883914127,False,False,-2.838626920736902
valence,sleep/PE_gamma,0.130373925214957,0.2064253815903486,False,False,-2.708310348561176
valence,sleep/kolmogorov_complexity,0.1801639672065587,0.20940517778797182,False,False,2.5219492353855797
valence,sleep/wsmi_theta,0.08058388322335533,0.1701215312493057,False,False,3.3547450208131524
valence,sleep/wsmi_alpha,0.05878824235152969,0.15434413117376525,False,False,-4.850131134635552
valence,sleep/wsmi_beta,0.1873625274945011,0.20940517778797182,False,False,-2.7047910714855243
valence,sleep/wsmi_gamma,0.16016796640671865,0.20940517778797182,False,False,-2.8297317312438004
valence,sleep/slowwaves_Density,0.013397320535892822,0.10542891421715658,False,False,23.431048475036413
valence,sleep/slowwaves_Duration,0.32573485302939414,0.32573485302939414,False,False,2.5556078596771905
valence,sleep/slowwaves_Frequency,0.2673465306938612,0.2821991157324091,False,False,-3.031375881373755
valence,sleep/slowwaves_PTP,0.15296940611877624,0.20940517778797182,False,False,2.6460194773492183
valence,sleep/slowwaves_Slope,0.041191761647670466,0.15434413117376525,False,False,5.783196065899062
selfother,evoked/P1,1.0,1.0,False,False,
selfother,evoked/N1,1.0,1.0,False,False,
selfother,evoked/P3a,0.01859628074385123,0.05558888222355529,False,False,26.550209124879142
selfother,evoked/P3b,0.027794441111777646,0.05558888222355529,False,False,25.221291094115173
selfother,sleep/psd_relative_delta,0.10177964407118577,0.16336732653469305,False,False,4.008527501899619
selfother,sleep/psd_relative_theta,0.041391721655668866,0.1310737852429514,False,False,10.552235420760956
selfother,sleep/psd_relative_alpha,0.03199360127974405,0.1310737852429514,False,False,-12.488539594803562
selfother,sleep/psd_relative_beta,0.02579484103179364,0.1310737852429514,False,False,11.016474663201688
selfother,sleep/psd_relative_gamma,0.09038192361527694,0.16336732653469305,False,False,2.7084205627806863
selfother,sleep/PE_theta,0.10317936412717456,0.16336732653469305,False,False,-3.6118359020863995
selfother,sleep/PE_alpha,0.057588482303539294,0.15529394121175766,False,False,5.723326997514689
selfother,sleep/PE_beta,0.03579284143171366,0.1310737852429514,False,False,7.548979625099959
selfother,sleep/PE_gamma,0.0653869226154769,0.15529394121175766,False,False,4.8926832890939185
selfother,sleep/kolmogorov_complexity,0.20435912817436513,0.2986787257933029,False,False,-2.4745917750427426
selfother,sleep/wsmi_theta,0.24415116976604678,0.3313480161110635,False,False,-2.4306179170685662
selfother,sleep/wsmi_alpha,1.0,1.0,False,False,
selfother,sleep/wsmi_beta,1.0,1.0,False,False,
selfother,sleep/wsmi_gamma,0.4367126574685063,0.5185962807438512,False,False,2.273467644263122
selfother,sleep/slowwaves_Density,0.01879624075184963,0.1310737852429514,False,False,-18.734927710114476
selfother,sleep/slowwaves_Duration,1.0,1.0,False,False,
selfother,sleep/slowwaves_Frequency,0.395120975804839,0.5004865693527961,False,False,-2.319408146771229
selfother,sleep/slowwaves_PTP,0.016796640671865627,0.1310737852429514,False,False,-8.12163546336942
selfother,sleep/slowwaves_Slope,0.09158168366326734,0.16336732653469305,False,False,-4.681426834895936
time,evoked/P1,0.1365726854629074,0.2731453709258148,False,False,2.3471012720866478
time,evoked/N1,0.1311737652469506,0.2731453709258148,False,False,2.409770662696871
time,evoked/P3a,1.0,1.0,False,False,
time,evoked/P3b,1.0,1.0,False,False,
time,sleep/psd_relative_delta,1.0,1.0,False,False,
time,sleep/psd_relative_theta,0.09258148370325935,0.1869226154769046,False,False,5.079927325246864
time,sleep/psd_relative_alpha,0.016996600679864027,0.09213157368526295,False,False,15.949214994716197
time,sleep/psd_relative_beta,0.09838032393521295,0.1869226154769046,False,False,-4.728719949950355
time,sleep/psd_relative_gamma,0.016396720655868825,0.09213157368526295,False,False,-20.863623956333548
time,sleep/PE_theta,1.0,1.0,False,False,
time,sleep/PE_alpha,0.007398520295940812,0.09213157368526295,False,False,-21.75653621660703
time,sleep/PE_beta,0.08998200359928014,0.1869226154769046,False,False,-2.9651167079850085
time,sleep/PE_gamma,0.09198160367926415,0.1869226154769046,False,False,-2.994473984562037
time,sleep/kolmogorov_complexity,0.019396120775844832,0.09213157368526295,False,False,-9.555387107891125
time,sleep/wsmi_theta,0.11197760447910418,0.19341586228208904,False,False,-3.001053796316145
time,sleep/wsmi_alpha,1.0,1.0,False,False,
time,sleep/wsmi_beta,0.23315336932613479,0.36915950143304677,False,False,2.386841617365601
time,sleep/wsmi_gamma,0.08078384323135374,0.1869226154769046,False,False,3.1454015573400547
time,sleep/slowwaves_Density,1.0,1.0,False,False,
time,sleep/slowwaves_Duration,0.4573085382923415,0.6206330162538921,False,False,2.259940271745968
time,sleep/slowwaves_Frequency,1.0,1.0,False,False,
time,sleep/slowwaves_PTP,0.30193961207758446,0.4412963561133927,False,False,-2.3000473638125256
time,sleep/slowwaves_Slope,0.02439512097580484,0.09270145970805839,False,False,-10.65962016943556
confidence,evoked/P1,1.0,1.0,False,False,
confidence,evoked/N1,0.0643871225754849,0.20262614143837898,False,False,5.102260890964555
confidence,evoked/P3a,0.11017796440711858,0.20262614143837898,False,False,-2.507107142851181
confidence,evoked/P3b,0.15196960607878424,0.20262614143837898,False,False,-2.317050939219581
confidence,sleep/psd_relative_delta,0.001799640071985603,0.01139772045590882,True,True,-40.902914335621375
confidence,sleep/psd_relative_theta,0.09298140371925614,0.14722055588882224,False,False,-4.786784065078139
confidence,sleep/psd_relative_alpha,0.02539492101579684,0.05361149992223778,False,False,-13.874848338108183
confidence,sleep/psd_relative_beta,0.05858828234353129,0.11131773645270947,False,False,5.29989448760245
confidence,sleep/psd_relative_gamma,0.001799640071985603,0.01139772045590882,True,True,33.78738848601122
confidence,sleep/PE_theta,0.016796640671865627,0.039892021595680865,True,False,13.675825808224959
confidence,sleep/PE_alpha,0.0033993201359728054,0.012483217642185851,True,True,23.12997211535159
confidence,sleep/PE_beta,0.004599080183963208,0.012483217642185851,True,True,27.94829598717004
confidence,sleep/PE_gamma,0.004399120175964807,0.012483217642185851,True,True,27.43079925812733
confidence,sleep/kolmogorov_complexity,0.08598280343931214,0.14722055588882224,False,False,-2.9719717166480746
confidence,sleep/wsmi_theta,0.004399120175964807,0.012483217642185851,True,True,11.427941975704798
confidence,sleep/wsmi_alpha,0.14557088582283542,0.21275744851029793,False,False,2.892030948868081
