perm_idx,n_converged,n_warnings,n_failed,n_insufficient_data,convergence_rate,n_nan_t,is_degenerate
2830,61,3,0,0,0.953125,0,False
2831,63,1,0,0,0.984375,0,False
2832,63,1,0,0,0.984375,0,False
2833,63,1,0,0,0.984375,0,False
2834,62,2,0,0,0.96875,0,False
2835,63,1,0,0,0.984375,0,False
2836,63,1,0,0,0.984375,0,False
2837,63,1,0,0,0.984375,0,False
2838,61,3,0,0,0.953125,0,False
2839,61,3,0,0,0.953125,0,False
2840,61,3,0,0,0.953125,0,False
2841,63,1,0,0,0.984375,0,False
2842,61,3,0,0,0.953125,0,False
2843,63,1,0,0,0.984375,0,False
2844,63,1,0,0,0.984375,0,False
2845,63,1,0,0,0.984375,0,False
2846,62,2,0,0,0.96875,0,False
2847,63,1,0,0,0.984375,0,False
2848,62,2,0,0,0.96875,0,False
2849,61,3,0,0,0.953125,0,False
2850,63,1,0,0,0.984375,0,False
2851,64,0,0,0,1.0,0,False
2852,63,1,0,0,0.984375,0,False
2853,61,3,0,0,0.953125,0,False
2854,63,1,0,0,0.984375,0,False
2855,63,1,0,0,0.984375,0,False
2856,62,2,0,0,0.96875,0,False
2857,64,0,0,0,1.0,0,False
2858,63,1,0,0,0.984375,0,False
2859,62,2,0,0,0.96875,0,False
2860,63,1,0,0,0.984375,0,False
2861,64,0,0,0,1.0,0,False
2862,62,2,0,0,0.96875,0,False
2863,64,0,0,0,1.0,0,False
2864,63,1,0,0,0.984375,0,False
2865,62,2,0,0,0.96875,0,False
2866,62,2,0,0,0.96875,0,False
2867,64,0,0,0,1.0,0,False
2868,63,1,0,0,0.984375,0,False
2869,62,2,0,0,0.96875,0,False
2870,63,1,0,0,0.984375,0,False
2871,63,1,0,0,0.984375,0,False
2872,61,3,0,0,0.953125,0,False
2873,63,1,0,0,0.984375,0,False
2874,64,0,0,0,1.0,0,False
2875,62,2,0,0,0.96875,0,False
2876,64,0,0,0,1.0,0,False
2877,63,1,0,0,0.984375,0,False
2878,63,1,0,0,0.984375,0,False
2879,61,3,0,0,0.953125,0,False
2880,64,0,0,0,1.0,0,False
2881,63,1,0,0,0.984375,0,False
2882,63,1,0,0,0.984375,0,False
2883,62,2,0,0,0.96875,0,False
2884,64,0,0,0,1.0,0,False
2885,63,1,0,0,0.984375,0,False
2886,61,3,0,0,0.953125,0,False
2887,63,1,0,0,0.984375,0,False
2888,60,4,0,0,0.9375,0,False
2889,63,1,0,0,0.984375,0,False
2890,62,2,0,0,0.96875,0,False
2891,64,0,0,0,1.0,0,False
2892,63,1,0,0,0.984375,0,False
2893,64,0,0,0,1.0,0,False
2894,63,1,0,0,0.984375,0,False
2895,63,1,0,0,0.984375,0,False
2896,62,2,0,0,0.96875,0,False
2897,63,1,0,0,0.984375,0,False
2898,62,2,0,0,0.96875,0,False
2899,63,1,0,0,0.984375,0,False
2900,64,0,0,0,1.0,0,False
2901,62,2,0,0,0.96875,0,False
2902,63,1,0,0,0.984375,0,False
2903,63,1,0,0,0.984375,0,False
2904,63,1,0,0,0.984375,0,False
2905,63,1,0,0,0.984375,0,False
2906,62,2,0,0,0.96875,0,False
2907,62,2,0,0,0.96875,0,False
2908,62,2,0,0,0.96875,0,False
2909,63,1,0,0,0.984375,0,False
2910,63,1,0,0,0.984375,0,False
2911,64,0,0,0,1.0,0,False
2912,62,2,0,0,0.96875,0,False
2913,64,0,0,0,1.0,0,False
2914,63,1,0,0,0.984375,0,False
