feature_name,mean_importance,std_importance,rank
slowwaves_PTP_mean_posterior_mid_trimmean,0.004610253563007103,,133
slowwaves_Duration_mean_central_mid_trimmean,0.004598965776778264,,134
wsmi_theta_mean_posterior_left_trimmean,0.004596383160967602,,135
wsmi_beta_mean_frontal_left_trimmean,0.004566511796415687,,136
wsmi_gamma_mean_central_left_trimmean,0.004542245890661362,,137
PE_theta_mean_central_left_trimmean,0.004523991373232351,,138
slowwaves_Slope_mean_posterior_mid_trimmean,0.004508347687734358,,139
psd_relative_delta_mean_posterior_mid_trimmean,0.004503394166582392,,140
psd_relative_alpha_mean_frontal_right_trimmean,0.004498088225276083,,141
slowwaves_PTP_mean_central_left_trimmean,0.004487267785361141,,142
PE_theta_mean_posterior_left_trimmean,0.004469654939998954,,143
slowwaves_Slope_mean_frontal_mid_trimmean,0.004455561574493731,,144
slowwaves_Density_mean_central_left_trimmean,0.0044302064600239615,,145
wsmi_alpha_mean_frontal_right_trimmean,0.0044089202476737584,,146
psd_relative_delta_mean_posterior_right_trimmean,0.004406998207424841,,147
wsmi_gamma_mean_central_right_trimmean,0.004400012276723359,,148
PE_alpha_mean_frontal_right_trimmean,0.004389425003512367,,149
psd_relative_theta_mean_central_mid_trimmean,0.004363531871004451,,150
psd_relative_delta_mean_posterior_left_trimmean,0.004361474648549198,,151
wsmi_gamma_mean_posterior_right_trimmean,0.004354741721635401,,152
PE_theta_mean_frontal_mid_trimmean,0.0043154578712730676,,153
psd_relative_theta_mean_posterior_mid_trimmean,0.00430720320111719,,154
PE_alpha_mean_frontal_mid_trimmean,0.004288063912659885,,155
psd_relative_gamma_mean_central_right_trimmean,0.00428524761302468,,156
slowwaves_Frequency_mean_posterior_left_trimmean,0.004262471109961447,,157
slowwaves_Frequency_mean_central_mid_trimmean,0.0042582151774633575,,158
slowwaves_Duration_mean_frontal_left_trimmean,0.004241968994873356,,159
wsmi_beta_mean_central_left_trimmean,0.004236921696821988,,160
PE_theta_mean_central_mid_trimmean,0.004221416642091564,,161
PE_beta_mean_central_right_trimmean,0.004217695160489816,,162
wsmi_theta_mean_central_right_trimmean,0.004205964769774035,,163
slowwaves_Slope_mean_central_mid_trimmean,0.004167829526664153,,164
slowwaves_Slope_mean_posterior_left_trimmean,0.004156087978556121,,165
slowwaves_PTP_mean_posterior_right_trimmean,0.004126752779985389,,166
slowwaves_Slope_mean_posterior_right_trimmean,0.004065310231919783,,167
slowwaves_Frequency_mean_posterior_mid_trimmean,0.004057371568714459,,168
slowwaves_Duration_mean_posterior_left_trimmean,0.0040547901060630845,,169
psd_relative_gamma_mean_posterior_right_trimmean,0.004046128015831304,,170
wsmi_beta_mean_frontal_right_trimmean,0.0040269794995798445,,171
PE_gamma_mean_central_right_trimmean,0.003930605848925862,,172
PE_theta_mean_frontal_left_trimmean,0.0038597720192379737,,173
PE_theta_mean_posterior_mid_trimmean,0.0038330860437873287,,174
PE_theta_mean_frontal_right_trimmean,0.0037837981931933135,,175
