feature_name,mean_importance,std_importance,rank
psd_relative_alpha_mean_posterior_mid_trimmean,0.004732524640146768,,134
slowwaves_Density_mean_frontal_mid_trimmean,0.0047161140437473525,,135
PE_beta_mean_central_right_trimmean,0.004700988202470009,,136
PE_beta_mean_frontal_right_trimmean,0.004678238112164596,,137
wsmi_theta_mean_frontal_left_trimmean,0.004668333280251826,,138
slowwaves_Slope_mean_frontal_left_trimmean,0.004664472033642,,139
psd_relative_alpha_mean_frontal_left_trimmean,0.004647407091721631,,140
wsmi_theta_mean_posterior_right_trimmean,0.004635865620508918,,141
slowwaves_Frequency_mean_frontal_mid_trimmean,0.004634149261964429,,142
wsmi_gamma_mean_frontal_mid_trimmean,0.004627822739076493,,143
kolmogorov_complexity_mean_central_mid_trimmean,0.004621833169178423,,144
slowwaves_Density_mean_central_right_trimmean,0.004569608191295068,,145
psd_relative_beta_mean_posterior_right_trimmean,0.004557792471448231,,146
psd_relative_delta_mean_frontal_mid_trimmean,0.00455382746766034,,147
psd_relative_delta_mean_posterior_mid_trimmean,0.004548918459052287,,148
PE_theta_mean_frontal_right_trimmean,0.004537170581149836,,149
PE_gamma_mean_posterior_mid_trimmean,0.004536344512200064,,150
slowwaves_PTP_mean_central_mid_trimmean,0.0045292077703376074,,151
psd_relative_theta_mean_central_left_trimmean,0.004525887510598563,,152
PE_theta_mean_frontal_left_trimmean,0.004499144044716801,,153
PE_gamma_mean_central_left_trimmean,0.004485070500831156,,154
PE_beta_mean_central_left_trimmean,0.004438015117417146,,155
wsmi_beta_mean_central_left_trimmean,0.004338882436718174,,156
psd_relative_gamma_mean_central_right_trimmean,0.004322074251467381,,157
slowwaves_Frequency_mean_central_left_trimmean,0.00432064646717821,,158
PE_beta_mean_frontal_mid_trimmean,0.004289400048106582,,159
PE_beta_mean_posterior_right_trimmean,0.004279549864611029,,160
PE_gamma_mean_central_right_trimmean,0.004269391232970518,,161
wsmi_gamma_mean_posterior_left_trimmean,0.004257386022321441,,162
psd_relative_gamma_mean_posterior_left_trimmean,0.0042522544988996625,,163
PE_gamma_mean_posterior_right_trimmean,0.004236299603681358,,164
PE_gamma_mean_frontal_left_trimmean,0.0041592804543507935,,165
psd_relative_alpha_mean_central_left_trimmean,0.004150942245307814,,166
slowwaves_Frequency_mean_frontal_left_trimmean,0.00413125469346315,,167
PE_theta_mean_central_left_trimmean,0.004054447120118643,,168
psd_relative_gamma_mean_frontal_left_trimmean,0.003959303050284264,,169
PE_alpha_mean_frontal_right_trimmean,0.0038881980785968845,,170
PE_alpha_mean_central_left_trimmean,0.0038651761552250586,,171
PE_gamma_mean_posterior_left_trimmean,0.003845080759829906,,172
psd_relative_alpha_mean_posterior_right_trimmean,0.0038293891195685242,,173
PE_beta_mean_posterior_left_trimmean,0.003812640513990904,,174
PE_beta_mean_frontal_left_trimmean,0.0037401679914091626,,175
