feature_name,mean_abs_shap_value
wsmi_alpha_mean_central_right_trimmean,0.00310626292780796
wsmi_alpha_mean_frontal_left_trimmean,0.00101711202832095
wsmi_alpha_mean_frontal_mid_trimmean,0.0010312876896094601
wsmi_alpha_mean_frontal_right_trimmean,0.001178141345306165
wsmi_alpha_mean_posterior_left_trimmean,0.0012824004926104255
wsmi_alpha_mean_posterior_mid_trimmean,0.0016249544075516886
wsmi_alpha_mean_posterior_right_trimmean,0.0011851015186716658
wsmi_beta_mean_central_left_trimmean,0.0011566642044459126
wsmi_beta_mean_central_mid_trimmean,0.001978793314130994
wsmi_beta_mean_central_right_trimmean,0.001842258190138063
wsmi_beta_mean_frontal_left_trimmean,0.0008865085240764054
wsmi_beta_mean_frontal_mid_trimmean,0.0010178811258156927
wsmi_beta_mean_frontal_right_trimmean,0.002167594059208978
wsmi_beta_mean_posterior_left_trimmean,0.0038380401624498687
wsmi_beta_mean_posterior_mid_trimmean,0.001421936138644313
wsmi_beta_mean_posterior_right_trimmean,0.001444240898808873
wsmi_gamma_mean_central_left_trimmean,0.0011439804402381256
wsmi_gamma_mean_central_mid_trimmean,0.0011306376677894837
wsmi_gamma_mean_central_right_trimmean,0.001552658235229601
wsmi_gamma_mean_frontal_left_trimmean,0.0011887385864296515
wsmi_gamma_mean_frontal_mid_trimmean,0.000999551366928058
wsmi_gamma_mean_frontal_right_trimmean,0.0013716427510415843
wsmi_gamma_mean_posterior_left_trimmean,0.0009197746362991602
wsmi_gamma_mean_posterior_mid_trimmean,0.0010393969454581913
wsmi_gamma_mean_posterior_right_trimmean,0.0015616441446659895
wsmi_theta_mean_central_left_trimmean,0.0032450687211849974
wsmi_theta_mean_central_mid_trimmean,0.0008855003012367654
wsmi_theta_mean_central_right_trimmean,0.0011158557361666997
wsmi_theta_mean_frontal_left_trimmean,0.0012933600153565345
wsmi_theta_mean_frontal_mid_trimmean,0.0013246724495263927
wsmi_theta_mean_frontal_right_trimmean,0.0012127651699378548
wsmi_theta_mean_posterior_left_trimmean,0.00232201076304746
wsmi_theta_mean_posterior_mid_trimmean,0.001108612458768149
wsmi_theta_mean_posterior_right_trimmean,0.0008943947510295532
