dimension,marker,family,cluster_stat,cbpt_significant,y_value
selfother,wsmi_alpha,sleep,0.0,False,0.0336064201869209
selfother,wsmi_beta,sleep,0.0,False,0.042862637618782
selfother,wsmi_gamma,sleep,2.273467644263122,False,0.0405921075622627
selfother,wsmi_theta,sleep,-2.4306179170685662,False,0.0402204635811641
time,N1,evoked,2.409770662696871,False,0.0674837693426608
time,P1,evoked,2.3471012720866478,False,0.0489632907297247
time,P3a,evoked,0.0,False,0.0603608878622314
time,P3b,evoked,0.0,False,0.0290645307272986
time,PE_alpha,sleep,-21.75653621660703,False,0.0522583527064906
time,PE_beta,sleep,-2.9651167079850085,False,0.036681839541795
time,PE_gamma,sleep,-2.994473984562037,False,0.0358766062778898
time,PE_theta,sleep,0.0,False,0.0408423247568493
time,kolmogorov_complexity,sleep,-9.555387107891125,False,0.0491013480543418
time,psd_relative_alpha,sleep,15.949214994716197,False,0.0395521398030517
time,psd_relative_beta,sleep,-4.728719949950355,False,0.0425254681407587
time,psd_relative_delta,sleep,0.0,False,0.0314139004886104
time,psd_relative_gamma,sleep,-20.863623956333548,False,0.0363502718779416
time,psd_relative_theta,sleep,5.079927325246864,False,0.0371351923623822
time,slowwaves_Density,sleep,0.0,False,0.0292872586915287
time,slowwaves_Duration,sleep,2.259940271745968,False,0.0480427483998511
time,slowwaves_Frequency,sleep,0.0,False,0.0391475869682795
time,slowwaves_PTP,sleep,-2.3000473638125256,False,0.0362741648531541
time,slowwaves_Slope,sleep,-10.65962016943556,False,0.05421257886443
time,wsmi_alpha,sleep,0.0,False,0.0422787350679554
time,wsmi_beta,sleep,2.386841617365601,False,0.0390360259302558
time,wsmi_gamma,sleep,3.1454015573400547,False,0.0452897979763015
time,wsmi_theta,sleep,-3.001053796316145,False,0.058821180576216
confidence,N1,evoked,5.102260890964555,False,0.0643541596917522
confidence,P1,evoked,0.0,False,0.1030642291370095
confidence,P3a,evoked,-2.507107142851181,False,0.0358390539186854
confidence,P3b,evoked,-2.317050939219581,False,0.0333745178328261
confidence,PE_alpha,sleep,23.12997211535159,True,0.0469263566172568
confidence,PE_beta,sleep,27.94829598717004,True,0.0343723493653508
confidence,PE_gamma,sleep,27.43079925812733,True,0.0367647450050126
confidence,PE_theta,sleep,13.675825808224959,True,0.0302416359977658
confidence,kolmogorov_complexity,sleep,-2.9719717166480746,False,0.0332116231202706
confidence,psd_relative_alpha,sleep,-13.874848338108183,False,0.0314856748574946
confidence,psd_relative_beta,sleep,5.29989448760245,False,0.0375455133177642
confidence,psd_relative_delta,sleep,-40.902914335621375,True,0.0481743719796517
confidence,psd_relative_gamma,sleep,33.78738848601122,True,0.0394409954017038
confidence,psd_relative_theta,sleep,-4.786784065078139,False,0.0323568390871607
confidence,slowwaves_Density,sleep,-90.27484136661243,True,0.0663323383312687
confidence,slowwaves_Duration,sleep,0.0,False,0.0322893938945441
confidence,slowwaves_Frequency,sleep,2.4650374438938805,False,0.0304139164850365
confidence,slowwaves_PTP,sleep,0.0,False,0.0311025569417603
confidence,slowwaves_Slope,sleep,0.0,False,0.038458937478875
confidence,wsmi_alpha,sleep,2.892030948868081,False,0.0383813263375695
confidence,wsmi_beta,sleep,-2.4136083599148983,False,0.0343368802838733
confidence,wsmi_gamma,sleep,-2.5702359242981396,False,0.0403387271522693
confidence,wsmi_theta,sleep,11.427941975704798,True,0.0811938577650976
