dimension,marker,family,cluster_stat,cbpt_significant,y_value
confidence,PE_beta,sleep,27.94829598717004,True,0.0470517919582365
confidence,PE_gamma,sleep,27.43079925812733,True,0.048462142236465
confidence,PE_theta,sleep,13.675825808224959,True,-0.039882114995938
confidence,kolmogorov_complexity,sleep,-2.9719717166480746,False,0.0477472480439309
confidence,psd_relative_alpha,sleep,-13.874848338108183,False,-0.042050676724021
confidence,psd_relative_beta,sleep,5.29989448760245,False,0.0484278427528082
confidence,psd_relative_delta,sleep,-40.902914335621375,True,-0.0408107968386265
confidence,psd_relative_gamma,sleep,33.78738848601122,True,0.0568465381800261
confidence,psd_relative_theta,sleep,-4.786784065078139,False,0.0495083453365157
confidence,slowwaves_Density,sleep,-90.27484136661243,True,-0.0532509682711999
confidence,slowwaves_Duration,sleep,0.0,False,-0.0361471357600454
confidence,slowwaves_Frequency,sleep,2.4650374438938805,False,0.0361274685067841
confidence,slowwaves_PTP,sleep,0.0,False,-0.0374173888204547
confidence,slowwaves_Slope,sleep,0.0,False,-0.0391743164685554
confidence,wsmi_alpha,sleep,2.892030948868081,False,0.044168251991637
confidence,wsmi_beta,sleep,-2.4136083599148983,False,0.03674114546925
confidence,wsmi_gamma,sleep,-2.5702359242981396,False,0.0367780498045651
confidence,wsmi_theta,sleep,11.427941975704798,True,0.0385807371453477
