perm_idx,auc,balanced_accuracy,auprc
327,0.3888888888888889,0.375,0.2427601911976912
328,0.5694444444444444,0.5333333333333333,0.4233907030644098
329,0.3833333333333333,0.43333333333333335,0.33246063019342514
330,0.18611111111111112,0.275,0.19280214124032352
331,0.6416666666666666,0.6166666666666667,0.405552151416122
332,0.7611111111111112,0.7166666666666667,0.5543047968012719
333,0.611111111111111,0.5666666666666667,0.369793675556424
334,0.26944444444444443,0.36666666666666664,0.21048726165851916
335,0.7722222222222221,0.6333333333333333,0.5637388591800356
336,0.5416666666666666,0.525,0.3053856886577475
337,0.3694444444444444,0.475,0.25950722576864693
338,0.6027777777777779,0.5333333333333333,0.486275453409074
339,0.575,0.6666666666666666,0.33042806064477886
340,0.6,0.6416666666666666,0.47202260033142385
341,0.47777777777777775,0.4833333333333333,0.2943956588074235
342,0.6111111111111112,0.625,0.3893070228755713
343,0.5,0.55,0.33654224492072793
344,0.55,0.44999999999999996,0.3648718346829552
345,0.6166666666666667,0.5583333333333333,0.5014122820043873
346,0.7305555555555556,0.7,0.5063161375661376
347,0.6499999999999999,0.5416666666666666,0.5220834432600473
348,0.3,0.3416666666666667,0.21939793812850975
349,0.20555555555555557,0.24166666666666667,0.19711137850843735
350,0.4,0.39166666666666666,0.2922283320967532
351,0.5666666666666667,0.55,0.34517192100312305
352,0.27777777777777773,0.35,0.21498754596842273
353,0.375,0.43333333333333335,0.38478166449657675
354,0.5361111111111111,0.525,0.4371306383590866
355,0.4444444444444444,0.45833333333333337,0.2914609674381346
356,0.3805555555555555,0.4083333333333333,0.2552408348955365
357,0.6194444444444445,0.5333333333333333,0.44690997577183034
358,0.6638888888888889,0.6,0.4182582950948768
359,0.3027777777777778,0.3833333333333333,0.21805409960079722
360,0.5111111111111111,0.44999999999999996,0.45406533624635176
361,0.3194444444444445,0.44166666666666665,0.2615486021063496
362,0.46944444444444444,0.5416666666666666,0.3121752943730674
363,0.45555555555555555,0.4916666666666667,0.27903639820801496
364,0.11666666666666665,0.25833333333333336,0.18157198466638708
365,0.36111111111111116,0.43333333333333335,0.26922411063970125
366,0.35555555555555557,0.31666666666666665,0.23104099018494034
367,0.39444444444444443,0.44999999999999996,0.2502453993551112
368,0.45,0.41666666666666663,0.3370857298999831
369,0.3833333333333333,0.5166666666666666,0.30383400746731276
