valence,selfother,time,Cluster,subject_id,task,probe_number
77.0,28.0,62.0,0,8,Sart1,11.0
50.0,25.0,47.0,2,8,Sart1,13.0
51.0,34.0,49.0,2,8,Sart1,14.0
81.0,27.0,83.0,0,8,Sart1,15.0
92.0,12.0,28.0,3,8,Sart2,1.0
79.0,34.0,34.0,3,8,Sart2,2.0
55.0,38.0,48.0,2,8,Sart2,4.0
85.0,19.0,20.0,3,8,Sart2,5.0
91.0,85.0,35.0,1,8,Sart2,6.0
88.0,83.0,26.0,1,8,Sart2,7.0
77.0,34.0,40.0,3,8,Sart2,8.0
66.0,4.0,18.0,3,8,Sart2,9.0
93.0,42.0,39.0,3,8,Sart2,10.0
77.0,14.0,70.0,0,8,Sart2,12.0
73.0,68.0,46.0,1,8,Sart2,13.0
62.0,86.0,10.0,3,8,Sart2,14.0
62.0,67.0,19.0,3,8,Sart2,15.0
44.0,97.0,73.0,1,8,Sart3,1.0
74.0,6.0,13.0,3,8,Sart3,2.0
50.0,86.0,6.0,3,8,Sart3,3.0
87.0,80.0,19.0,3,8,Sart3,4.0
95.0,6.0,33.0,0,8,Sart3,5.0
84.0,5.0,54.0,0,8,Sart3,6.0
79.0,10.0,33.0,3,8,Sart3,7.0
96.0,1.0,64.0,0,8,Sart3,8.0
83.0,4.0,63.0,0,8,Sart3,9.0
85.0,20.0,65.0,0,8,Sart3,10.0
84.0,22.0,86.0,0,8,Sart3,11.0
60.0,47.0,47.0,2,8,Sart3,12.0
75.0,21.0,73.0,0,8,Sart3,13.0
50.0,97.0,72.0,1,8,Sart4,2.0
81.0,65.0,76.0,1,8,Sart4,3.0
85.0,2.0,21.0,3,8,Sart4,4.0
76.0,7.0,62.0,0,8,Sart4,5.0
54.0,69.0,48.0,2,8,Sart4,6.0
82.0,1.0,63.0,0,8,Sart4,7.0
50.0,87.0,74.0,1,8,Sart4,8.0
54.0,63.0,21.0,2,8,Sart4,9.0
90.0,76.0,40.0,1,8,Sart4,11.0
70.0,54.0,87.0,1,8,Sart4,12.0
53.0,44.0,41.0,2,8,Sart4,13.0
49.0,40.0,30.0,2,8,Sart4,14.0
92.0,2.0,63.0,0,8,Sart4,15.0
49.0,15.0,48.0,0,10,Sart1,2.0
49.0,33.0,48.0,0,10,Sart1,3.0
37.0,33.0,48.0,2,10,Sart1,4.0
50.0,30.0,46.0,0,10,Sart1,6.0
49.0,30.0,34.0,3,10,Sart1,7.0
47.0,27.0,47.0,0,10,Sart1,12.0
69.0,22.0,31.0,3,10,Sart1,15.0
49.0,48.0,48.0,1,10,Sart2,1.0
48.0,37.0,23.0,3,10,Sart2,2.0
39.0,29.0,30.0,2,10,Sart2,6.0
48.0,23.0,49.0,0,10,Sart2,7.0
49.0,30.0,65.0,0,10,Sart2,9.0
49.0,31.0,54.0,0,10,Sart2,13.0
49.0,63.0,53.0,1,10,Sart2,14.0
49.0,41.0,29.0,3,10,Sart2,15.0
46.0,38.0,34.0,3,10,Sart4,2.0
35.0,58.0,42.0,2,10,Sart4,3.0
47.0,36.0,64.0,0,10,Sart4,4.0
39.0,69.0,37.0,1,10,Sart4,6.0
50.0,50.0,47.0,1,10,Sart4,7.0
35.0,23.0,25.0,2,10,Sart4,8.0
47.0,38.0,43.0,1,10,Sart4,9.0
50.0,31.0,47.0,0,10,Sart4,10.0
42.0,35.0,39.0,2,10,Sart4,11.0
1.0,5.0,68.0,2,12,Sart1,1.0
46.0,21.0,48.0,0,12,Sart1,2.0
49.0,10.0,49.0,0,12,Sart1,3.0
52.0,25.0,53.0,0,12,Sart1,4.0
49.0,33.0,53.0,1,12,Sart1,5.0
52.0,15.0,50.0,0,12,Sart1,6.0
52.0,22.0,53.0,0,12,Sart1,7.0
48.0,24.0,54.0,0,12,Sart1,9.0
55.0,38.0,64.0,1,12,Sart1,10.0
54.0,40.0,63.0,1,12,Sart1,11.0
47.0,40.0,57.0,1,12,Sart1,12.0
52.0,46.0,50.0,1,12,Sart2,1.0
58.0,48.0,23.0,3,12,Sart2,3.0
69.0,75.0,78.0,1,12,Sart2,5.0
18.0,84.0,58.0,1,12,Sart2,6.0
