perm_idx,n_converged,n_warnings,n_failed,n_insufficient_data,convergence_rate,n_nan_t,is_degenerate
226,62,2,0,0,0.96875,0,False
227,62,2,0,0,0.96875,0,False
228,62,2,0,0,0.96875,0,False
229,62,2,0,0,0.96875,0,False
230,62,2,0,0,0.96875,0,False
231,62,2,0,0,0.96875,0,False
232,62,2,0,0,0.96875,0,False
233,62,2,0,0,0.96875,0,False
234,62,2,0,0,0.96875,0,False
235,62,2,0,0,0.96875,0,False
236,62,2,0,0,0.96875,0,False
237,62,2,0,0,0.96875,0,False
238,62,2,0,0,0.96875,0,False
239,62,2,0,0,0.96875,0,False
240,62,2,0,0,0.96875,0,False
241,62,2,0,0,0.96875,0,False
242,62,2,0,0,0.96875,0,False
243,62,2,0,0,0.96875,0,False
244,62,2,0,0,0.96875,0,False
245,62,2,0,0,0.96875,0,False
246,62,2,0,0,0.96875,0,False
247,62,2,0,0,0.96875,0,False
248,62,2,0,0,0.96875,0,False
249,62,2,0,0,0.96875,0,False
250,62,2,0,0,0.96875,0,False
251,62,2,0,0,0.96875,0,False
252,62,2,0,0,0.96875,0,False
253,62,2,0,0,0.96875,0,False
254,62,2,0,0,0.96875,0,False
255,62,2,0,0,0.96875,0,False
256,62,2,0,0,0.96875,0,False
257,62,2,0,0,0.96875,0,False
258,62,2,0,0,0.96875,0,False
259,62,2,0,0,0.96875,0,False
260,62,2,0,0,0.96875,0,False
261,62,2,0,0,0.96875,0,False
262,62,2,0,0,0.96875,0,False
263,62,2,0,0,0.96875,0,False
264,62,2,0,0,0.96875,0,False
265,62,2,0,0,0.96875,0,False
266,62,2,0,0,0.96875,0,False
267,62,2,0,0,0.96875,0,False
268,62,2,0,0,0.96875,0,False
269,62,2,0,0,0.96875,0,False
270,62,2,0,0,0.96875,0,False
271,62,2,0,0,0.96875,0,False
272,62,2,0,0,0.96875,0,False
273,62,2,0,0,0.96875,0,False
274,62,2,0,0,0.96875,0,False
275,62,2,0,0,0.96875,0,False
276,62,2,0,0,0.96875,0,False
277,62,2,0,0,0.96875,0,False
278,62,2,0,0,0.96875,0,False
279,62,2,0,0,0.96875,0,False
280,62,2,0,0,0.96875,0,False
281,62,2,0,0,0.96875,0,False
282,62,2,0,0,0.96875,0,False
283,62,2,0,0,0.96875,0,False
284,62,2,0,0,0.96875,0,False
285,62,2,0,0,0.96875,0,False
286,62,2,0,0,0.96875,0,False
287,62,2,0,0,0.96875,0,False
288,62,2,0,0,0.96875,0,False
289,62,2,0,0,0.96875,0,False
290,62,2,0,0,0.96875,0,False
291,62,2,0,0,0.96875,0,False
292,62,2,0,0,0.96875,0,False
293,62,2,0,0,0.96875,0,False
294,62,2,0,0,0.96875,0,False
295,62,2,0,0,0.96875,0,False
296,62,2,0,0,0.96875,0,False
297,62,2,0,0,0.96875,0,False
298,62,2,0,0,0.96875,0,False
299,62,2,0,0,0.96875,0,False
300,62,2,0,0,0.96875,0,False
301,62,2,0,0,0.96875,0,False
302,62,2,0,0,0.96875,0,False
