channel,coefficient,std_err,effect_size,t_statistic,p_value,p_corrected,significant,converged,method_used,marker,formula,z_scored,fdr_alpha,fdr_method
C6,7.887318404077492e-05,0.0005649798115888164,0.13960354409650588,0.13960354409650588,0.8889732402628633,0.9951000610551283,False,True,lbfgs,p3a_lat,mean ~ onoff_label,False,0.05,indep
CP1,0.0005662746991119696,0.0005847974054396681,0.968326285042642,0.968326285042642,0.33288144142505016,0.9951000610551283,False,False,nm,p3a_lat,mean ~ onoff_label,False,0.05,indep
CP2,0.0009588605691874954,0.0005987132359388657,1.6015356127610383,1.6015356127610383,0.10925833879285443,0.9951000610551283,False,True,lbfgs,p3a_lat,mean ~ onoff_label,False,0.05,indep
CP3,0.0008019399989129065,0.0005497773381988907,1.4586632499988423,1.4586632499988423,0.14465781567619204,0.9951000610551283,False,True,nm,p3a_lat,mean ~ onoff_label,False,0.05,indep
CP4,0.0003187908828479381,0.0005277399318627539,0.604068147207864,0.604068147207864,0.5457983356832052,0.9951000610551283,False,False,nm,p3a_lat,mean ~ onoff_label,False,0.05,indep
CP5,0.00017608515540805137,0.0007685908231583526,0.229101298249267,0.229101298249267,0.8187901844408102,0.9951000610551283,False,True,lbfgs,p3a_lat,mean ~ onoff_label,False,0.05,indep
CP6,3.2908985814612583e-05,0.0006336587393215875,0.05193487246754594,0.05193487246754594,0.958580587547706,0.9951000610551283,False,True,lbfgs,p3a_lat,mean ~ onoff_label,False,0.05,indep
CPz,0.0006189440999716581,0.000873870327885074,0.7082791121534198,0.7082791121534198,0.4787719458131219,0.9951000610551283,False,True,lbfgs,p3a_lat,mean ~ onoff_label,False,0.05,indep
Cz,0.0005177170965098826,0.0006014476112724412,0.860785024009962,0.860785024009962,0.3893564547057653,0.9951000610551283,False,True,lbfgs,p3a_lat,mean ~ onoff_label,False,0.05,indep
F1,-0.00030386145677000045,0.0005101350981598729,-0.5956489915437505,-0.5956489915437505,0.5514097407787693,0.9951000610551283,False,False,nm,p3a_lat,mean ~ onoff_label,False,0.05,indep
