channel,coefficient,std_err,effect_size,t_statistic,p_value,p_corrected,significant,converged,method_used,marker,formula,random_formula,z_scored_pc1,z_scored_markers,fdr_alpha,fdr_method
PO4,0.005746637204254696,0.017745469886851377,0.32383685756964403,0.32383685756964403,0.7460615502302693,0.892463868601935,False,True,lbfgs,kurtosis,mean ~ PC1,~1 + PC1,True,False,0.05,indep
PO7,-0.0030831809886983103,0.017257012686238245,-0.1786624976614301,-0.1786624976614301,0.8582027178452973,0.9321857107629954,False,True,lbfgs,kurtosis,mean ~ PC1,~1 + PC1,True,False,0.05,indep
PO8,0.01350386636008095,0.01892265010097292,0.7136350504830525,0.7136350504830525,0.47545287793461977,0.8341639180435592,False,True,lbfgs,kurtosis,mean ~ PC1,~1 + PC1,True,False,0.05,indep
POz,-0.008876653000917742,0.016950302686550907,-0.5236869904371004,-0.5236869904371004,0.6004962656436676,0.8341639180435592,False,True,lbfgs,kurtosis,mean ~ PC1,~1 + PC1,True,False,0.05,indep
Pz,0.002308744480121082,0.01637665919076163,0.14097774480301126,0.14097774480301126,0.887887523808695,0.9480832881347082,False,False,nm,kurtosis,mean ~ PC1,~1 + PC1,True,False,0.05,indep
T7,-0.013950312992283434,0.014357386919815215,-0.9716470740946626,-0.9716470740946626,0.33122615516299836,0.8341639180435592,False,False,nm,kurtosis,mean ~ PC1,~1 + PC1,True,False,0.05,indep
T8,-0.009845522591206602,0.01558453804097572,-0.6317494022164928,-0.6317494022164928,0.5275506410039343,0.8341639180435592,False,False,nm,kurtosis,mean ~ PC1,~1 + PC1,True,False,0.05,indep
TP10,0.009426101562370623,0.018432009761616727,0.511398468440472,0.511398468440472,0.6090720671429162,0.8341639180435592,False,True,lbfgs,kurtosis,mean ~ PC1,~1 + PC1,True,False,0.05,indep
TP7,-0.004279559642257955,0.018475342062852593,-0.23163628731197577,-0.23163628731197577,0.8168205207241317,0.9211431566116082,False,True,lbfgs,kurtosis,mean ~ PC1,~1 + PC1,True,False,0.05,indep
TP8,-0.019015759570137274,0.015497322756662543,-1.2270351381797284,-1.2270351381797284,0.219809384395515,0.8341639180435592,False,True,lbfgs,kurtosis,mean ~ PC1,~1 + PC1,True,False,0.05,indep
TP9,0.009426101562370623,0.018432009761616727,0.511398468440472,0.511398468440472,0.6090720671429162,0.8341639180435592,False,True,lbfgs,kurtosis,mean ~ PC1,~1 + PC1,True,False,0.05,indep
