channel,coefficient,std_err,effect_size,t_statistic,p_value,p_corrected,significant,converged,method_used,marker,formula,random_formula,z_scored_pc1,z_scored_markers,fdr_alpha,fdr_method
CP2,-8.159821691582884e-14,2.4378425995823794e-13,-0.3347148701471015,-0.3347148701471015,0.7378401831110908,0.9877602784809891,False,True,lbfgs,d,mean ~ PC1,~1 + PC1,True,False,0.05,indep
CP3,2.5673753961587887e-14,1.6769805401390502e-13,0.15309512154183433,0.15309512154183433,0.8783232629731061,0.9877602784809891,False,True,lbfgs,d,mean ~ PC1,~1 + PC1,True,False,0.05,indep
CP4,1.9487742954504035e-14,2.3058290263007636e-13,0.08451512550246701,0.08451512550246701,0.9326468774543503,0.9877602784809891,False,True,lbfgs,d,mean ~ PC1,~1 + PC1,True,False,0.05,indep
CP5,-1.980254171700489e-14,1.2789360704427217e-13,-0.154836056114595,-0.154836056114595,0.8769505653076106,0.9877602784809891,False,False,nm,d,mean ~ PC1,~1 + PC1,True,False,0.05,indep
CP6,-1.744378621856974e-14,1.8725208879966008e-13,-0.09315669763893927,-0.09315669763893927,0.9257790750146234,0.9877602784809891,False,False,nm,d,mean ~ PC1,~1 + PC1,True,False,0.05,indep
CPz,-4.8419185886374197e-14,2.41575053326649e-13,-0.20043123335629998,-0.20043123335629998,0.8411433343689014,0.9877602784809891,False,True,lbfgs,d,mean ~ PC1,~1 + PC1,True,False,0.05,indep
Cz,-1.6694711815426623e-14,1.7416508211915661e-13,-0.09585567676536211,-0.09585567676536211,0.9236351972324013,0.9877602784809891,False,True,lbfgs,d,mean ~ PC1,~1 + PC1,True,False,0.05,indep
F1,-7.653158851555719e-13,8.137336475937501e-13,-0.9404992498695958,-0.9404992498695958,0.34696153424793685,0.9877602784809891,False,True,lbfgs,d,mean ~ PC1,~1 + PC1,True,False,0.05,indep
F2,-6.526955490371223e-13,7.218294931130254e-13,-0.9042239964763008,-0.9042239964763008,0.36587663841248086,0.9877602784809891,False,True,lbfgs,d,mean ~ PC1,~1 + PC1,True,False,0.05,indep
F3,-9.496028897917917e-13,1.2531450216748665e-12,-0.7577757349445625,-0.7577757349445625,0.44858525106461455,0.9877602784809891,False,True,lbfgs,d,mean ~ PC1,~1 + PC1,True,False,0.05,indep
F4,-2.4671353162676823e-13,4.712768359026864e-13,-0.523500229231958,-0.523500229231958,0.6006261915498003,0.9877602784809891,False,True,lbfgs,d,mean ~ PC1,~1 + PC1,True,False,0.05,indep
F5,1.0897512727396433e-13,4.449777412316216e-13,0.24490017629272867,0.24490017629272867,0.8065337251845857,0.9877602784809891,False,True,lbfgs,d,mean ~ PC1,~1 + PC1,True,False,0.05,indep
F6,-1.5018268632350356e-13,6.516897428966041e-13,-0.23045120467291327,-0.23045120467291327,0.8177411760934796,0.9877602784809891,False,True,lbfgs,d,mean ~ PC1,~1 + PC1,True,False,0.05,indep
F7,3.9332974649750126e-13,5.058644720990656e-13,0.77753977239278,0.77753977239278,0.4368403787659888,0.9877602784809891,False,False,nm,d,mean ~ PC1,~1 + PC1,True,False,0.05,indep
F8,2.692723881103267e-13,5.649320516325416e-13,0.47664562018066226,0.47664562018066226,0.633614492056303,0.9877602784809891,False,False,nm,d,mean ~ PC1,~1 + PC1,True,False,0.05,indep
FC1,8.969615736129423e-14,1.951213696169394e-13,0.4596941766931268,0.4596941766931268,0.6457357499696911,0.9877602784809891,False,True,lbfgs,d,mean ~ PC1,~1 + PC1,True,False,0.05,indep
FC2,-6.878869698523355e-13,5.801776771873994e-13,-1.1856488053575105,-1.1856488053575105,0.23576101979949682,0.9877602784809891,False,True,lbfgs,d,mean ~ PC1,~1 + PC1,True,False,0.05,indep
FC3,5.73642725969535e-14,1.4878953672803571e-13,0.3855396949168981,0.3855396949168981,0.699837602817321,0.9877602784809891,False,False,nm,d,mean ~ PC1,~1 + PC1,True,False,0.05,indep
FC4,-9.749450628806544e-14,1.3421099633257468e-13,-0.7264271106852838,-0.7264271106852838,0.4675769763328673,0.9877602784809891,False,True,lbfgs,d,mean ~ PC1,~1 + PC1,True,False,0.05,indep
FC5,-5.542363444530682e-13,7.304823571048981e-13,-0.7587265305758496,-0.7587265305758496,0.4480161628925129,0.9877602784809891,False,True,lbfgs,d,mean ~ PC1,~1 + PC1,True,False,0.05,indep
FC6,-2.4038234354299853e-13,3.5332631958680847e-13,-0.6803408923063236,-0.6803408923063236,0.49628863775397103,0.9877602784809891,False,True,lbfgs,d,mean ~ PC1,~1 + PC1,True,False,0.05,indep
FCz,-1.0333758253447048e-13,2.285363356474228e-13,-0.4521713461525689,-0.4521713461525689,0.6511455487970379,0.9877602784809891,False,True,lbfgs,d,mean ~ PC1,~1 + PC1,True,False,0.05,indep
