block_number,block_onset,EVAtense,EVAfeel,EVAmood,EVAhurt,EVAaverage,total_score,subject_id,task
1,1080.028,4.0,5.2,8.3,7.7,6.3,25.2,24,Sart2
1,2.222,7.3,7.6,8.0,8.1,7.8,31.0,24,Sart3
2,1089.168,6.3,6.1,6.6,6.6,6.4,25.6,24,Sart3
1,1043.96,5.8,6.0,6.6,6.5,6.2,24.9,24,Sart4
1,1164.49,9.5,9.7,9.3,9.9,9.6,38.4,25,Sart1
1,1141.278,6.5,6.6,8.0,9.8,7.7,30.900000000000002,25,Sart2
1,3.469,6.4,6.5,8.4,9.7,7.8,31.0,25,Sart3
2,1219.466,5.1,7.0,8.2,9.8,7.5,30.099999999999998,25,Sart3
1,1146.063,3.7,4.1,9.0,6.3,5.8,23.1,25,Sart4
1,1149.299,8.7,9.8,9.8,9.7,9.5,38.0,26,Sart1
1,1136.511,9.6,9.6,9.8,9.9,9.7,38.9,26,Sart2
1,1.215,9.7,9.9,9.9,9.9,9.9,39.4,26,Sart3
2,1144.818,9.1,9.9,9.6,9.9,9.6,38.5,26,Sart3
1,1142.503,9.4,9.9,9.9,10.0,9.8,39.2,26,Sart4
1,1156.784,9.9,9.8,9.8,9.9,9.9,39.400000000000006,27,Sart1
1,1124.683,9.7,9.8,9.9,9.9,9.8,39.3,27,Sart2
1,0.908,9.9,9.9,9.7,10.0,9.9,39.5,27,Sart3
2,1141.861,9.9,9.8,9.9,9.9,9.9,39.5,27,Sart3
1,1099.135,9.9,9.8,9.7,10.0,9.9,39.400000000000006,27,Sart4
1,1214.418,10.0,5.1,5.2,10.0,7.6,30.3,28,Sart1
1,1179.966,8.1,10.0,7.5,10.0,8.9,35.6,28,Sart2
1,1.373,8.6,10.0,7.2,10.0,9.0,35.8,28,Sart3
2,1214.852,9.2,9.9,7.9,10.0,9.3,37.0,28,Sart3
1,1163.073,10.0,8.4,8.5,10.0,9.2,36.9,28,Sart4
1,1168.184,1.0,1.8,5.5,4.9,3.3,13.200000000000001,29,Sart1
1,1139.926,8.5,8.3,5.6,9.6,8.0,32.0,29,Sart2
1,2.059,4.8,5.0,5.8,3.8,4.9,19.400000000000002,29,Sart3
2,1175.276,8.9,8.0,6.3,3.1,6.6,26.3,29,Sart3
1,1142.095,9.1,8.6,8.0,9.5,8.8,35.2,29,Sart4
1,1165.241,4.2,5.9,5.4,8.8,6.1,24.300000000000004,30,Sart1
1,1124.213,4.9,8.1,4.9,9.9,7.0,27.799999999999997,30,Sart2
1,1.745,8.1,8.0,5.5,10.0,7.9,31.6,30,Sart3
2,1113.587,7.2,4.3,4.7,9.9,6.5,26.1,30,Sart3
1,1070.672,7.0,4.9,4.8,10.0,6.7,26.7,30,Sart4
1,1194.701,2.9,4.9,4.9,7.1,5.0,19.8,31,Sart1
1,1170.142,2.5,4.9,4.9,8.2,5.1,20.5,31,Sart2
1,1.595,5.0,6.3,6.1,9.8,6.8,27.2,31,Sart3
2,1176.353,4.9,6.1,6.0,9.7,6.7,26.7,31,Sart3
1,1173.097,4.7,4.9,4.9,8.3,5.7,22.800000000000004,31,Sart4
1,1202.163,7.2,7.2,4.7,8.1,6.8,27.200000000000003,32,Sart1
1,1171.371,7.3,7.8,4.8,7.0,6.7,26.9,32,Sart2
1,3.229,6.6,6.6,5.1,8.9,6.8,27.199999999999996,32,Sart3
2,1187.172,6.7,5.8,5.0,6.4,6.0,23.9,32,Sart3
1,1147.698,7.1,6.9,4.7,8.0,6.7,26.7,32,Sart4
1,1129.288,10.0,5.6,5.4,9.9,7.7,30.9,33,Sart1
1,1118.61,10.0,4.8,4.9,9.9,7.4,29.6,33,Sart2
1,2.656,9.9,5.1,5.1,9.9,7.5,30.0,33,Sart3
2,1150.02,10.0,5.2,5.1,10.0,7.6,30.299999999999997,33,Sart3
1,1093.933,9.9,4.9,5.0,9.9,7.4,29.700000000000003,33,Sart4
1,1200.636,0.7,5.0,5.1,9.2,5.0,20.0,34,Sart1
1,1194.365,0.7,3.2,5.4,9.6,4.7,18.9,34,Sart2
1,1.001,3.3,5.3,8.7,9.8,6.8,27.099999999999998,34,Sart3
2,1207.622,1.3,4.9,5.4,9.6,5.3,21.200000000000003,34,Sart3
1,1158.877,0.3,2.3,5.1,9.1,4.2,16.799999999999997,34,Sart4
1,1164.584,0.3,0.5,0.4,0.2,0.4,1.4000000000000001,35,Sart1
1,1150.314,0.2,0.2,0.0,0.1,0.1,0.5,35,Sart2
1,1.933,3.4,3.3,4.9,4.7,4.1,16.3,35,Sart3
2,1215.487,3.9,2.7,5.0,0.8,3.1,12.4,35,Sart3
1,1163.428,3.5,3.5,5.1,3.6,3.9,15.7,35,Sart4
1,1102.661,3.0,9.2,5.1,9.7,6.8,26.999999999999996,36,Sart1
1,1108.164,3.9,9.6,4.8,9.8,7.0,28.1,36,Sart2
1,1.171,9.0,5.4,5.0,0.3,4.9,19.7,36,Sart3
2,1183.665,5.1,5.2,5.2,0.5,4.0,16.0,36,Sart3
1,1098.055,7.2,6.3,6.0,0.3,5.0,19.8,36,Sart4
1,1171.479,5.1,6.5,7.2,6.2,6.3,25.0,37,Sart1
1,1148.222,3.3,4.0,5.1,5.2,4.4,17.599999999999998,37,Sart2
1,1.292,7.1,9.8,8.7,8.4,8.5,34.0,37,Sart3
2,1191.608,6.2,4.6,6.2,5.1,5.5,22.1,37,Sart3
1,1121.991,2.6,5.3,5.1,2.2,3.8,15.2,37,Sart4
1,1281.527,3.6,4.9,6.9,9.2,6.2,24.6,38,Sart1
1,1307.204,4.1,4.3,5.2,4.9,4.6,18.5,38,Sart2
1,1.945,5.8,5.8,6.0,8.6,6.6,26.200000000000003,38,Sart3
2,1384.341,7.0,7.2,7.3,9.6,7.8,31.1,38,Sart3
1,1146.488,8.2,9.9,10.0,9.9,9.5,38.0,39,Sart1
1,1151.414,9.5,9.4,9.3,10.0,9.6,38.2,39,Sart2
1,1.535,9.9,9.9,9.9,10.0,9.9,39.7,39,Sart3
1,1183.07,7.6,10.0,8.0,10.0,8.9,35.6,39,Sart4
1,1275.491,8.9,8.6,6.5,10.0,8.5,34.0,40,Sart1
1,1270.882,6.9,8.5,6.8,9.9,8.0,32.1,40,Sart2
1,1.194,7.0,8.0,7.3,9.8,8.0,32.1,40,Sart3
2,1404.49,7.4,9.8,8.7,9.9,9.0,35.800000000000004,40,Sart3
1,1280.708,7.8,7.9,9.1,10.0,8.7,34.8,40,Sart4
1,1202.192,7.6,8.0,7.9,9.7,8.3,33.2,41,Sart1
1,1142.733,7.2,7.9,8.0,9.8,8.2,32.900000000000006,41,Sart2
1,1.197,7.8,8.2,8.1,9.8,8.5,33.900000000000006,41,Sart3
2,1145.314,7.2,7.4,7.4,9.6,7.9,31.6,41,Sart3
1,1110.971,6.2,7.5,6.9,9.9,7.6,30.5,41,Sart4
1,1082.158,7.7,7.3,6.8,9.7,7.9,31.5,42,Sart1
1,1064.574,8.1,7.9,6.2,8.1,7.6,30.299999999999997,42,Sart2
1,1.596,7.4,7.5,5.3,9.4,7.4,29.6,42,Sart3
2,1087.959,8.1,7.4,5.6,7.7,7.2,28.8,42,Sart3
1,1062.907,7.8,7.0,5.0,6.6,6.6,26.4,42,Sart4
1,1141.675,9.8,9.9,9.5,10.0,9.8,39.2,43,Sart1
1,1212.69,9.3,9.1,8.8,9.6,9.2,36.8,43,Sart2
1,1.527,9.3,8.8,9.4,10.0,9.4,37.5,43,Sart3
2,1137.96,9.9,9.5,9.5,9.8,9.7,38.7,43,Sart3
1,1096.617,9.2,9.0,8.3,9.4,9.0,35.9,43,Sart4
